,kernel_size,kernel_size_n,kernel_size_theoric,nc_diag_prekernel,nc_diag_postkernel,removed_instances,max_removed
0,45,0.9,76,37,37,5,3
1,42,0.84,66,32,32,8,3
2,46,0.92,72,35,35,4,3
3,43,0.86,74,36,36,7,3
4,47,0.94,78,38,38,3,3
5,41,0.82,62,30,30,9,3
6,44,0.88,74,36,36,6,3
7,43,0.86,72,35,35,7,3
8,43,0.86,70,34,34,7,3
9,41,0.82,64,31,31,9,3
10,39,0.78,66,32,32,11,3
11,40,0.8,66,32,32,10,3
12,38,0.76,64,31,31,12,3
13,45,0.9,72,35,35,5,3
14,47,0.94,84,41,41,3,3
15,43,0.86,66,32,32,7,3
16,44,0.88,76,37,37,6,3
17,45,0.9,78,38,38,5,3
18,41,0.82,66,32,32,9,3
19,43,0.86,62,30,30,7,3
20,42,0.84,72,35,35,8,3
21,43,0.86,70,34,34,7,3
22,41,0.82,66,32,32,9,3
23,46,0.92,76,37,37,4,3
24,45,0.9,74,36,36,5,3
25,39,0.78,64,31,31,11,3
26,40,0.8,62,30,30,10,3
27,44,0.88,70,34,34,6,3
28,43,0.86,70,34,34,7,3
29,45,0.9,76,37,37,5,3
30,42,0.84,74,36,36,8,3
31,42,0.84,70,34,34,8,3
32,39,0.78,60,29,29,11,3
33,43,0.86,70,34,34,7,3
34,44,0.88,72,35,35,6,3
35,38,0.76,56,27,27,12,3
36,42,0.84,64,31,31,8,3
37,42,0.84,66,32,32,8,3
38,36,0.72,52,25,25,14,3
39,43,0.86,72,35,35,7,3
40,44,0.88,70,34,34,6,3
41,39,0.78,62,30,30,11,3
42,41,0.82,68,33,33,9,3
43,43,0.86,68,33,33,7,3
44,39,0.78,68,33,33,11,3
45,44,0.88,72,35,35,6,3
46,44,0.88,76,37,37,6,3
47,44,0.88,66,32,32,6,3
48,39,0.78,58,28,28,11,3
49,40,0.8,66,32,32,10,3
50,39,0.78,56,27,27,11,3
51,42,0.84,76,37,37,8,3
52,45,0.9,70,34,34,5,3
53,46,0.92,72,35,35,4,3
54,40,0.8,64,31,31,10,3
55,36,0.72,56,27,27,14,3
56,38,0.76,62,30,30,12,3
57,42,0.84,74,36,36,8,3
58,41,0.82,64,31,31,9,3
59,43,0.86,68,33,33,7,3
60,39,0.78,60,29,29,11,3
61,38,0.76,52,25,25,12,3
62,46,0.92,78,38,38,4,3
63,34,0.68,58,28,28,16,3
64,46,0.92,72,35,35,4,3
65,40,0.8,66,32,32,10,3
66,47,0.94,80,39,39,3,3
67,42,0.84,66,32,32,8,3
68,37,0.74,54,26,26,13,3
69,44,0.88,74,36,36,6,3
70,41,0.82,62,30,30,9,3
71,38,0.76,54,26,26,12,3
72,40,0.8,66,32,32,10,3
73,42,0.84,68,33,33,8,3
74,46,0.92,70,34,34,4,3
75,32,0.64,54,26,26,18,3
76,41,0.82,66,32,32,9,3
77,43,0.86,66,32,32,7,3
78,38,0.76,52,25,25,12,3
79,41,0.82,64,31,31,9,3
80,42,0.84,60,29,29,8,3
81,35,0.7,54,26,26,15,3
82,44,0.88,70,34,34,6,3
83,42,0.84,68,33,33,8,3
84,43,0.86,72,35,35,7,3
85,39,0.78,64,31,31,11,3
86,40,0.8,62,30,30,10,3
87,41,0.82,60,29,29,9,3
88,43,0.86,72,35,35,7,3
89,39,0.78,64,31,31,11,3
90,46,0.92,78,38,38,4,3
91,40,0.8,58,28,28,10,3
92,43,0.86,70,34,34,7,3
93,40,0.8,72,35,35,10,3
94,41,0.82,70,34,34,9,3
95,41,0.82,72,35,35,9,3
96,41,0.82,68,33,33,9,3
97,48,0.96,78,38,38,2,3
98,40,0.8,62,30,30,10,3
99,43,0.86,76,37,37,7,3
