,n,eps,D,kernel_size,kernel_size_n,kernel_size_theoric,nc_diag_prekernel,nc_diag_postkernel,removed_instances,max_removed
100,50,0.06666666666666667,5,0.0,0.0,7.013333333333334,4.7,0.0,43.3,4.52
101,50,0.06666666666666667,25,0.0,0.0,19.183999999999997,16.11,0.0,31.89,7.0
102,50,0.06666666666666667,50,0.0,0.0,28.325333333333333,24.68,0.0,23.32,10.29
103,50,0.06666666666666667,75,3.69,0.07379999999999999,33.040000000000006,29.1,3.18,18.73,11.34
104,50,0.06666666666666667,100,6.04,0.12079999999999998,36.10133333333333,31.97,5.25,15.76,12.21
105,50,0.03333333333333333,5,0.0,0.0,6.629333333333332,4.48,0.0,43.52,4.38
106,50,0.03333333333333333,25,0.0,0.0,18.802,16.26,0.0,31.74,7.12
107,50,0.03333333333333333,50,0.0,0.0,27.42,24.6,0.0,23.4,10.07
108,50,0.03333333333333333,75,0.0,0.0,32.442,29.46,0.0,18.54,13.63
109,50,0.03333333333333333,100,0.35,0.006999999999999999,35.33533333333334,32.26,0.32,15.73,16.0
110,100,1.0,10,19.51,0.19509999999999994,20.46,9.23,9.23,80.49,3.0
111,100,1.0,50,54.19,0.5419,68.46,33.23,33.23,45.81,3.0
112,100,1.0,100,72.06,0.7206,103.14,50.57,50.57,27.94,3.0
113,100,1.0,150,78.45,0.7844999999999998,120.74,59.37,59.37,21.55,3.0
114,100,1.0,200,83.3,0.8330000000000001,135.26,66.63,66.63,16.7,3.0
115,100,0.3333333333333333,10,0.22,0.0022,13.84,8.88,0.12,89.08,4.7
116,100,0.3333333333333333,50,19.13,0.19130000000000003,47.4,34.05,13.67,60.49,4.99
117,100,0.3333333333333333,100,42.49,0.42489999999999994,68.83999999999999,50.13,33.78,41.16,5.0
118,100,0.3333333333333333,150,57.52,0.5751999999999999,82.08,60.06,47.56,29.98,4.97
119,100,0.3333333333333333,200,66.88,0.6688000000000001,90.94666666666666,66.71,57.57,23.98,4.9
120,100,0.3,10,0.07,0.0007000000000000001,13.739000000000003,9.03,0.04,88.96,4.59
121,100,0.3,50,10.11,0.10110000000000001,45.602000000000004,33.54,7.03,63.02,5.91
122,100,0.3,100,32.98,0.32980000000000004,66.714,49.78,26.54,43.78,5.87
123,100,0.3,150,48.84,0.48840000000000006,79.77900000000001,59.83,41.3,32.63,5.91
124,100,0.3,200,59.78,0.5977999999999999,88.38500000000002,66.45,51.97,25.74,5.87
125,100,0.26666666666666666,10,0.07,0.0007000000000000001,13.463333333333335,9.05,0.04,88.94,4.81
126,100,0.26666666666666666,50,9.71,0.0971,44.446000000000005,33.51,6.63,63.09,5.92
127,100,0.26666666666666666,100,31.7,0.317,65.80199999999999,50.37,25.61,43.54,5.95
128,100,0.26666666666666666,150,50.46,0.5046,79.27933333333334,61.01,42.79,31.32,5.84
129,100,0.26666666666666666,200,60.61,0.6061,86.56266666666666,66.76,52.79,25.42,5.82
130,100,0.23333333333333334,10,0.0,0.0,13.494666666666665,9.32,0.0,88.68,4.74
131,100,0.23333333333333334,50,6.0,0.06,43.403,33.57,4.22,63.73,6.53
132,100,0.23333333333333334,100,25.57,0.2557,63.987333333333325,50.26,20.57,44.74,6.7
133,100,0.23333333333333334,150,41.03,0.4103,75.93833333333333,59.95,35.02,34.04,6.8
134,100,0.23333333333333334,200,54.24,0.5424,84.88,67.2,47.61,26.17,6.68
135,100,0.2,10,0.0,0.0,12.991999999999997,9.16,0.0,88.84,4.67
136,100,0.2,50,5.74,0.05739999999999999,41.828,33.19,3.97,64.14,6.61
137,100,0.2,100,25.85,0.25850000000000006,61.975999999999985,49.98,20.89,45.06,6.75
138,100,0.2,150,43.11,0.4311,74.44400000000002,60.37,36.81,33.33,6.8
139,100,0.2,200,52.88,0.5287999999999999,81.12799999999999,65.94,46.12,27.3,6.59
140,100,0.16666666666666666,10,0.0,0.0,12.29,8.82,0.0,89.18,4.69
141,100,0.16666666666666666,50,3.54,0.0354,42.08666666666667,34.36,2.51,63.27,7.0
142,100,0.16666666666666666,100,19.35,0.19350000000000006,60.19333333333333,49.88,15.5,46.17,7.55
143,100,0.16666666666666666,150,35.3,0.35300000000000004,71.93,59.94,30.19,34.93,7.55
144,100,0.16666666666666666,200,47.56,0.4756,79.59500000000001,66.51,41.89,27.82,7.59
145,100,0.13333333333333333,10,0.0,0.0,12.494666666666662,9.26,0.0,88.74,4.74
146,100,0.13333333333333333,50,1.0,0.01,39.660666666666664,33.23,0.78,64.69,7.45
