,kernel_size,kernel_size_n,kernel_size_theoric,nc_diag_prekernel,nc_diag_postkernel,removed_instances,max_removed
0,38,0.076,360.5666666666667,347,35,150,25
1,48,0.096,346.1,333,45,164,21
2,0,0.0,359.53333333333336,346,0,152,32
3,0,0.0,333.70000000000005,321,0,177,19
4,35,0.07,357.4666666666667,344,32,153,23
5,46,0.092,345.0666666666667,332,43,165,21
6,0,0.0,351.2666666666667,338,0,160,28
7,0,0.0,355.40000000000003,342,0,156,23
8,35,0.07,355.40000000000003,342,32,155,24
9,66,0.132,338.8666666666667,326,62,170,24
10,0,0.0,368.83333333333337,355,0,143,24
11,38,0.076,339.90000000000003,327,35,170,20
12,0,0.0,354.3666666666667,341,0,157,30
13,70,0.14,343.00000000000006,330,66,166,14
14,0,0.0,345.0666666666667,332,0,166,24
15,34,0.068,364.70000000000005,351,31,146,27
16,0,0.0,358.50000000000006,345,0,153,20
17,34,0.068,350.23333333333335,337,31,160,29
18,0,0.0,360.5666666666667,347,0,151,24
19,0,0.0,341.9666666666667,329,0,169,31
20,0,0.0,358.50000000000006,345,0,153,26
21,76,0.152,361.6,348,72,148,22
22,37,0.074,344.03333333333336,331,34,166,19
23,0,0.0,356.4333333333334,343,0,155,31
24,0,0.0,357.4666666666667,344,0,154,23
25,0,0.0,357.4666666666667,344,0,154,27
26,0,0.0,345.0666666666667,332,0,166,22
27,34,0.068,338.8666666666667,326,31,171,26
28,0,0.0,340.9333333333334,328,0,170,32
29,0,0.0,329.5666666666667,317,0,181,26
30,0,0.0,354.3666666666667,341,0,157,25
31,35,0.07,347.1333333333334,334,32,163,24
32,40,0.08,353.33333333333337,340,37,157,21
33,33,0.066,361.6,348,30,149,26
34,43,0.086,339.90000000000003,327,40,170,28
35,35,0.07,332.6666666666667,320,32,177,29
36,0,0.0,355.40000000000003,342,0,156,26
37,34,0.068,346.1,333,31,164,25
38,0,0.0,337.83333333333337,325,0,173,27
39,0,0.0,344.03333333333336,331,0,167,26
40,0,0.0,343.00000000000006,330,0,168,23
41,0,0.0,346.1,333,0,165,30
42,0,0.0,343.00000000000006,330,0,168,20
43,33,0.066,351.2666666666667,338,30,159,28
44,0,0.0,361.6,348,0,150,29
45,0,0.0,352.3,339,0,159,21
46,44,0.088,353.33333333333337,340,41,157,25
47,0,0.0,339.90000000000003,327,0,171,22
48,0,0.0,353.33333333333337,340,0,158,26
49,43,0.086,361.6,348,40,149,31
50,42,0.084,346.1,333,39,164,12
51,0,0.0,333.70000000000005,321,0,177,29
52,0,0.0,334.73333333333335,322,0,176,26
53,35,0.07,350.23333333333335,337,32,160,28
54,40,0.08,346.1,333,37,164,23
55,41,0.082,359.53333333333336,346,38,151,30
56,34,0.068,357.4666666666667,344,31,153,24
57,0,0.0,348.1666666666667,335,0,163,29
58,35,0.07,340.9333333333334,328,32,169,31
59,0,0.0,352.3,339,0,159,29
60,0,0.0,350.23333333333335,337,0,161,28
61,0,0.0,344.03333333333336,331,0,167,21
62,0,0.0,357.4666666666667,344,0,154,30
63,0,0.0,347.1333333333334,334,0,164,29
64,0,0.0,349.20000000000005,336,0,162,31
65,0,0.0,345.0666666666667,332,0,166,27
66,0,0.0,354.3666666666667,341,0,157,25
67,48,0.096,354.3666666666667,341,45,156,24
68,0,0.0,361.6,348,0,150,27
69,40,0.08,344.03333333333336,331,37,166,26
70,0,0.0,345.0666666666667,332,0,166,24
71,0,0.0,337.83333333333337,325,0,173,27
72,68,0.136,359.53333333333336,346,64,150,25
73,0,0.0,333.70000000000005,321,0,177,22
74,41,0.082,354.3666666666667,341,38,156,20
75,0,0.0,335.7666666666667,323,0,175,29
76,0,0.0,348.1666666666667,335,0,163,22
77,0,0.0,337.83333333333337,325,0,173,32
78,39,0.078,350.23333333333335,337,36,160,28
79,0,0.0,348.1666666666667,335,0,163,21
80,0,0.0,353.33333333333337,340,0,158,19
81,45,0.09,365.73333333333335,352,42,145,25
82,45,0.09,356.4333333333334,343,42,154,31
83,89,0.178,360.5666666666667,347,85,149,19
84,0,0.0,340.9333333333334,328,0,170,29
85,0,0.0,378.1333333333334,364,0,134,28
86,0,0.0,343.00000000000006,330,0,168,27
87,0,0.0,353.33333333333337,340,0,158,24
88,0,0.0,341.9666666666667,329,0,169,30
89,92,0.184,360.5666666666667,347,88,149,20
90,65,0.13,356.4333333333334,343,61,153,28
91,58,0.116,356.4333333333334,343,55,154,22
92,0,0.0,343.00000000000006,330,0,168,20
93,0,0.0,334.73333333333335,322,0,176,24
94,0,0.0,358.50000000000006,345,0,153,26
95,0,0.0,326.4666666666667,314,0,184,23
96,0,0.0,360.5666666666667,347,0,151,30
97,35,0.07,333.70000000000005,321,32,176,21
98,0,0.0,367.8,354,0,144,25
99,0,0.0,340.9333333333334,328,0,170,32
