,kernel_size,kernel_size_n,kernel_size_theoric,nc_diag_prekernel,nc_diag_postkernel,removed_instances,max_removed
0,41,0.41,66.8,54,35,40,7
1,55,0.55,83.6,68,48,25,7
2,45,0.45,77.6,63,38,30,7
3,46,0.46,75.2,61,39,32,7
4,32,0.32,68.0,55,26,39,7
5,53,0.53,84.8,69,48,26,7
6,35,0.35,71.6,58,30,37,7
7,57,0.57,80.0,65,50,28,7
8,43,0.43,72.8,59,36,34,7
9,49,0.49,75.2,61,42,32,6
10,41,0.41,78.8,64,35,30,7
11,61,0.61,83.6,68,53,24,6
12,43,0.43,72.8,59,39,37,7
13,31,0.31,74.0,60,26,35,7
14,44,0.44,81.2,66,37,27,7
15,63,0.63,82.39999999999999,67,55,25,6
16,63,0.63,84.8,69,55,23,7
17,36,0.36,65.6,53,30,41,7
18,46,0.46,78.8,64,39,29,6
19,42,0.42,68.0,55,36,39,7
20,33,0.33,64.4,52,27,42,6
21,49,0.49,78.8,64,42,29,7
22,38,0.38,77.6,63,32,31,7
23,39,0.39,76.39999999999999,62,32,31,7
24,43,0.43,71.6,58,37,36,6
25,52,0.52,77.6,63,44,29,7
26,14,0.14,53.6,43,11,54,7
27,60,0.6,87.2,71,53,22,7
28,66,0.66,87.2,71,59,22,7
29,32,0.32,64.4,52,26,42,7
30,43,0.43,65.6,53,36,40,6
31,53,0.53,78.8,64,46,29,7
32,38,0.38,71.6,58,31,35,7
33,42,0.42,77.6,63,36,31,6
34,46,0.46,70.39999999999999,57,39,36,7
35,32,0.32,69.2,56,27,39,7
36,30,0.3,68.0,55,24,39,7
37,45,0.45,78.8,64,39,30,7
38,58,0.58,82.39999999999999,67,51,26,6
39,28,0.28,65.6,53,23,42,7
40,34,0.34,71.6,58,29,37,7
41,25,0.25,74.0,60,20,35,7
42,53,0.53,80.0,65,45,27,7
43,30,0.3,70.39999999999999,57,25,38,7
44,61,0.61,87.2,71,53,21,7
45,58,0.58,87.2,71,51,22,7
46,37,0.37,76.39999999999999,62,31,32,7
47,70,0.7,89.6,73,63,20,7
48,43,0.43,74.0,60,38,35,5
49,37,0.37,71.6,58,31,36,7
50,36,0.36,76.39999999999999,62,30,32,7
51,30,0.3,63.199999999999996,51,26,45,7
52,22,0.22,63.199999999999996,51,17,44,7
53,57,0.57,76.39999999999999,62,49,30,7
54,48,0.48,75.2,61,41,32,7
55,42,0.42,66.8,54,35,39,7
56,69,0.69,88.39999999999999,72,60,19,6
57,41,0.41,69.2,56,34,37,7
58,42,0.42,66.8,54,35,39,6
59,51,0.51,80.0,65,44,28,7
60,57,0.57,82.39999999999999,67,51,27,7
61,40,0.4,69.2,56,35,39,6
62,45,0.45,77.6,63,39,31,7
63,43,0.43,75.2,61,36,32,7
64,41,0.41,68.0,55,34,38,7
65,39,0.39,80.0,65,34,30,7
66,47,0.47,77.6,63,40,30,7
67,28,0.28,63.199999999999996,51,23,44,7
68,40,0.4,77.6,63,34,31,7
69,31,0.31,65.6,53,27,43,7
70,34,0.34,76.39999999999999,62,28,32,7
71,51,0.51,76.39999999999999,62,43,30,7
72,27,0.27,62.0,50,22,45,7
73,40,0.4,69.2,56,35,39,6
74,41,0.41,71.6,58,35,36,7
75,43,0.43,77.6,63,38,32,7
76,39,0.39,71.6,58,33,36,6
77,55,0.55,77.6,63,47,29,7
78,45,0.45,77.6,63,38,30,7
79,57,0.57,84.8,69,51,25,6
80,41,0.41,69.2,56,35,38,7
81,30,0.3,74.0,60,25,35,7
82,22,0.22,68.0,55,17,40,6
83,55,0.55,74.0,60,47,32,7
84,41,0.41,69.2,56,35,38,7
85,35,0.35,63.199999999999996,51,29,43,7
86,45,0.45,75.2,61,37,31,7
87,52,0.52,77.6,63,44,29,6
88,50,0.5,70.39999999999999,57,42,35,7
89,46,0.46,75.2,61,39,32,6
90,36,0.36,72.8,59,30,35,7
91,51,0.51,83.6,68,43,24,7
92,37,0.37,77.6,63,33,33,7
93,51,0.51,76.39999999999999,62,45,32,7
94,45,0.45,74.0,60,38,33,7
95,40,0.4,77.6,63,34,31,7
96,19,0.19,66.8,54,16,43,7
97,45,0.45,75.2,61,38,32,7
98,30,0.3,65.6,53,25,42,7
99,44,0.44,77.6,63,37,30,7
