,kernel_size,kernel_size_n,kernel_size_theoric,nc_diag_prekernel,nc_diag_postkernel,removed_instances,max_removed
0,269,0.538,336,167,167,231,3
1,266,0.532,332,165,165,234,3
2,267,0.534,340,169,169,233,3
3,268,0.536,340,169,169,232,3
4,256,0.512,326,162,162,244,3
5,266,0.532,336,167,167,234,3
6,268,0.536,342,170,170,232,3
7,272,0.544,342,170,170,228,3
8,269,0.538,352,175,175,231,3
9,255,0.51,320,159,159,245,3
10,278,0.556,358,178,178,222,3
11,257,0.514,324,161,161,243,3
12,268,0.536,340,169,169,232,3
13,262,0.524,332,165,165,238,3
14,269,0.538,346,172,172,231,3
15,266,0.532,334,166,166,234,3
16,270,0.54,346,172,172,230,3
17,271,0.542,354,176,176,229,3
18,280,0.56,344,171,171,220,3
19,251,0.502,314,156,156,249,3
20,273,0.546,338,168,168,227,3
21,277,0.554,356,177,177,223,3
22,280,0.56,354,176,176,220,3
23,282,0.564,368,183,183,218,3
24,270,0.54,338,168,168,230,3
25,263,0.526,316,157,157,237,3
26,261,0.522,338,168,168,239,3
27,256,0.512,326,162,162,244,3
28,279,0.558,352,175,175,221,3
29,280,0.56,354,176,176,220,3
30,286,0.572,360,179,179,214,3
31,258,0.516,332,165,165,242,3
32,262,0.524,336,167,167,238,3
33,275,0.55,330,164,164,225,3
34,278,0.556,354,176,176,222,3
35,283,0.566,350,174,174,217,3
36,265,0.53,328,163,163,235,3
37,271,0.542,330,164,164,229,3
38,263,0.526,332,165,165,237,3
39,264,0.528,336,167,167,236,3
40,249,0.498,308,153,153,251,3
41,250,0.5,298,148,148,250,3
42,270,0.54,340,169,169,230,3
43,260,0.52,316,157,157,240,3
44,274,0.548,338,168,168,226,3
45,266,0.532,330,164,164,234,3
46,284,0.568,368,183,183,216,3
47,247,0.494,306,152,152,253,3
48,291,0.582,364,181,181,209,3
49,249,0.498,312,155,155,251,3
50,256,0.512,318,158,158,244,3
51,278,0.556,364,181,181,222,3
52,259,0.518,332,165,165,241,3
53,270,0.54,342,170,170,230,3
54,284,0.568,368,183,183,216,3
55,273,0.546,334,166,166,227,3
56,269,0.538,342,170,170,231,3
57,267,0.534,332,165,165,233,3
58,283,0.566,360,179,179,217,3
59,245,0.49,324,161,161,255,3
60,239,0.478,302,150,150,261,3
61,276,0.552,338,168,168,224,3
62,260,0.52,328,163,163,240,3
63,249,0.498,316,157,157,251,3
64,256,0.512,316,157,157,244,3
65,274,0.548,338,168,168,226,3
66,260,0.52,324,161,161,240,3
67,256,0.512,330,164,164,244,3
68,282,0.564,352,175,175,218,3
69,280,0.56,354,176,176,220,3
70,266,0.532,344,171,171,234,3
71,248,0.496,314,156,156,252,3
72,275,0.55,348,173,173,225,3
73,266,0.532,338,168,168,234,3
74,248,0.496,308,153,153,252,3
75,266,0.532,332,165,165,234,3
76,247,0.494,316,157,157,253,3
77,272,0.544,348,173,173,228,3
78,253,0.506,328,163,163,247,3
79,259,0.518,342,170,170,241,3
80,267,0.534,360,179,179,233,3
81,258,0.516,326,162,162,242,3
82,262,0.524,324,161,161,238,3
83,256,0.512,318,158,158,244,3
84,276,0.552,354,176,176,224,3
85,262,0.524,332,165,165,238,3
86,274,0.548,340,169,169,226,3
87,261,0.522,330,164,164,239,3
88,250,0.5,318,158,158,250,3
89,270,0.54,338,168,168,230,3
90,252,0.504,312,155,155,248,3
91,248,0.496,318,158,158,252,3
92,281,0.562,368,183,183,219,3
93,234,0.468,298,148,148,266,3
94,281,0.562,354,176,176,219,3
95,286,0.572,368,183,183,214,3
96,252,0.504,298,148,148,248,3
97,254,0.508,318,158,158,246,3
98,274,0.548,336,167,167,226,3
99,268,0.536,330,164,164,232,3
