,kernel_size,kernel_size_n,kernel_size_theoric,nc_diag_prekernel,nc_diag_postkernel,removed_instances,max_removed
0,44,0.44,81.3,61,37,32,6
1,37,0.37,76.10000000000001,57,30,36,6
2,32,0.32,73.5,55,25,38,6
3,61,0.61,87.8,66,54,27,6
4,56,0.56,89.10000000000001,67,50,27,6
5,34,0.34,72.2,54,26,38,6
6,51,0.51,76.10000000000001,57,45,37,6
7,50,0.5,81.3,61,42,31,6
8,65,0.65,91.7,69,58,24,6
9,49,0.49,83.9,63,41,29,6
10,47,0.47,78.7,59,41,35,6
11,49,0.49,81.3,61,42,32,6
12,58,0.58,87.8,66,50,26,6
13,47,0.47,76.10000000000001,57,38,34,6
14,57,0.57,85.2,64,48,27,6
15,62,0.62,91.7,69,52,21,6
16,45,0.45,76.10000000000001,57,37,35,6
17,39,0.39,77.4,58,33,36,6
18,50,0.5,80.0,60,44,34,6
19,52,0.52,78.7,59,43,32,5
20,36,0.36,73.5,55,31,40,6
21,49,0.49,81.3,61,42,32,6
22,51,0.51,76.10000000000001,57,43,35,6
23,58,0.58,86.5,65,49,26,6
24,51,0.51,83.9,63,44,30,6
25,53,0.53,85.2,64,45,28,6
26,31,0.31,68.3,51,24,42,6
27,39,0.39,73.5,55,32,38,6
28,43,0.43,65.7,49,35,43,6
29,37,0.37,69.60000000000001,52,29,40,6
30,31,0.31,70.9,53,26,42,6
31,61,0.61,86.5,65,54,28,6
32,49,0.49,80.0,60,40,31,6
33,48,0.48,83.9,63,41,30,6
34,53,0.53,78.7,59,45,33,6
35,48,0.48,76.10000000000001,57,39,34,5
36,46,0.46,76.10000000000001,57,38,35,6
37,67,0.67,91.7,69,57,21,6
38,55,0.55,86.5,65,47,27,6
39,48,0.48,76.10000000000001,57,40,35,6
40,48,0.48,78.7,59,40,33,6
41,55,0.55,80.0,60,45,30,6
42,44,0.44,77.4,58,38,36,6
43,43,0.43,68.3,51,35,41,6
44,66,0.66,94.3,71,60,23,6
45,35,0.35,72.2,54,28,39,6
46,52,0.52,87.8,66,44,26,6
47,52,0.52,76.10000000000001,57,45,36,6
48,62,0.62,82.60000000000001,62,51,27,5
49,36,0.36,65.7,49,29,44,6
50,49,0.49,81.3,61,41,31,6
51,42,0.42,72.2,54,36,40,6
52,35,0.35,68.3,51,28,42,6
53,43,0.43,83.9,63,35,29,6
54,45,0.45,81.3,61,38,32,6
55,51,0.51,77.4,58,42,33,6
56,56,0.56,81.3,61,49,32,6
57,47,0.47,76.10000000000001,57,40,36,6
58,41,0.41,80.0,60,34,33,6
59,61,0.61,83.9,63,53,29,5
60,22,0.22,65.7,49,17,46,6
61,59,0.59,87.8,66,53,28,6
62,55,0.55,78.7,59,46,32,6
63,49,0.49,76.10000000000001,57,41,35,6
64,57,0.57,87.8,66,48,25,6
65,47,0.47,77.4,58,40,35,6
66,35,0.35,65.7,49,28,44,6
67,68,0.68,98.2,74,58,16,6
68,54,0.54,89.10000000000001,67,47,26,6
69,31,0.31,76.10000000000001,57,25,37,6
70,43,0.43,67.0,50,34,41,6
71,62,0.62,91.7,69,54,23,6
72,65,0.65,90.4,68,57,24,6
73,47,0.47,85.2,64,41,30,6
74,34,0.34,70.9,53,27,40,6
75,57,0.57,77.4,58,50,35,4
76,57,0.57,85.2,64,50,29,6
77,42,0.42,80.0,60,36,34,6
78,50,0.5,76.10000000000001,57,42,35,6
79,53,0.53,80.0,60,44,31,6
80,40,0.4,76.10000000000001,57,34,37,6
81,51,0.51,72.2,54,42,37,6
82,61,0.61,82.60000000000001,62,51,28,5
83,50,0.5,77.4,58,41,33,6
84,39,0.39,76.10000000000001,57,33,37,6
85,54,0.54,82.60000000000001,62,47,31,6
86,41,0.41,83.9,63,36,32,6
87,54,0.54,85.2,64,48,30,6
88,66,0.66,91.7,69,59,24,6
89,57,0.57,78.7,59,47,31,5
90,46,0.46,85.2,64,38,28,6
91,64,0.64,87.8,66,55,25,6
92,51,0.51,74.8,56,43,36,5
93,48,0.48,77.4,58,38,32,6
94,42,0.42,72.2,54,35,39,6
95,43,0.43,74.8,56,35,36,6
96,39,0.39,77.4,58,32,35,6
97,49,0.49,82.60000000000001,62,43,32,6
98,62,0.62,89.10000000000001,67,55,26,6
99,38,0.38,78.7,59,32,35,6
