,kernel_size,kernel_size_n,kernel_size_theoric,nc_diag_prekernel,nc_diag_postkernel,removed_instances,max_removed
0,132,0.264,307.8666666666667,248,114,234,7
1,151,0.302,326.3666666666667,263,132,218,7
2,113,0.226,328.83333333333337,265,98,220,7
3,86,0.172,290.6,234,74,254,7
4,63,0.126,307.8666666666667,248,52,241,7
5,131,0.262,317.73333333333335,256,112,225,7
6,121,0.242,307.8666666666667,248,105,236,7
7,112,0.224,306.6333333333333,247,99,240,7
8,130,0.26,316.5,255,114,229,7
9,112,0.224,309.1,249,95,234,7
10,158,0.316,317.73333333333335,256,138,224,7
11,138,0.276,306.6333333333333,247,119,234,7
12,94,0.188,317.73333333333335,256,81,231,7
13,132,0.264,323.90000000000003,261,115,222,7
14,110,0.22,318.9666666666667,257,93,226,7
15,105,0.21,286.90000000000003,231,89,253,7
16,125,0.25,335.0,270,109,214,7
17,110,0.22,307.8666666666667,248,94,236,7
18,110,0.22,335.0,270,96,216,7
19,127,0.254,338.7,273,111,211,7
20,107,0.214,302.93333333333334,244,91,240,7
21,111,0.222,299.23333333333335,241,94,242,7
22,115,0.23,316.5,255,101,231,7
23,140,0.28,318.9666666666667,257,121,224,7
24,139,0.278,318.9666666666667,257,120,224,7
25,89,0.178,306.6333333333333,247,78,242,7
26,138,0.276,332.53333333333336,268,119,213,7
27,125,0.25,326.3666666666667,263,106,218,7
28,114,0.228,304.1666666666667,245,101,242,7
29,111,0.222,289.3666666666667,233,95,251,7
30,122,0.244,323.90000000000003,261,104,221,7
31,125,0.25,316.5,255,108,228,7
32,112,0.224,320.2,258,97,227,7
33,144,0.288,325.1333333333333,262,125,219,7
34,113,0.226,302.93333333333334,244,97,240,7
35,132,0.264,330.06666666666666,266,114,216,7
36,144,0.288,326.3666666666667,263,125,218,7
37,113,0.226,306.6333333333333,247,96,236,7
38,105,0.21,305.40000000000003,246,90,239,7
39,160,0.32,328.83333333333337,265,139,214,7
40,93,0.186,327.6,264,80,223,7
41,81,0.162,323.90000000000003,261,69,227,7
42,103,0.206,307.8666666666667,248,89,238,7
43,118,0.236,312.8,252,101,231,7
44,140,0.28,318.9666666666667,257,120,223,7
45,132,0.264,343.6333333333333,277,117,208,7
46,132,0.264,341.1666666666667,275,116,209,7
47,118,0.236,300.4666666666667,242,101,241,7
48,94,0.188,316.5,255,82,233,7
49,161,0.322,326.3666666666667,263,142,218,7
50,140,0.28,326.3666666666667,263,123,220,7
51,122,0.244,298.0,240,106,244,7
52,87,0.174,304.1666666666667,245,77,245,7
53,124,0.248,307.8666666666667,248,108,236,7
54,101,0.202,312.8,252,86,233,7
55,120,0.24,310.33333333333337,250,105,235,7
56,123,0.246,323.90000000000003,261,106,222,7
57,110,0.22,311.56666666666666,251,95,234,7
58,122,0.244,332.53333333333336,268,105,215,7
59,92,0.184,304.1666666666667,245,78,241,7
60,132,0.264,335.0,270,115,213,7
61,111,0.222,310.33333333333337,250,95,234,7
62,87,0.174,311.56666666666666,251,73,235,7
63,160,0.32,335.0,270,138,208,7
64,138,0.276,314.03333333333336,253,122,231,7
65,110,0.22,301.7,243,96,243,7
66,82,0.164,278.26666666666665,224,70,264,7
67,109,0.218,320.2,258,93,226,7
68,88,0.176,294.3,237,75,250,7
69,116,0.232,312.8,252,100,232,7
70,141,0.282,320.2,258,123,224,7
71,127,0.254,322.6666666666667,260,112,225,7
72,122,0.244,309.1,249,104,233,7
73,96,0.192,309.1,249,83,238,7
74,129,0.258,316.5,255,111,227,7
75,85,0.17,288.1333333333333,232,74,257,7
76,135,0.27,321.43333333333334,259,120,226,7
77,120,0.24,314.03333333333336,253,103,230,7
78,83,0.166,290.6,234,70,253,7
79,96,0.192,309.1,249,82,237,7
80,120,0.24,302.93333333333334,244,104,240,7
81,132,0.264,321.43333333333334,259,114,223,7
82,137,0.274,333.7666666666667,269,117,211,7
83,149,0.298,338.7,273,129,207,7
84,105,0.21,311.56666666666666,251,91,235,7
85,142,0.284,328.83333333333337,265,123,216,7
86,86,0.172,298.0,240,74,248,7
87,101,0.202,312.8,252,87,234,7
88,124,0.248,321.43333333333334,259,107,224,7
89,93,0.186,307.8666666666667,248,80,239,7
90,147,0.294,330.06666666666666,266,127,214,7
91,72,0.144,267.1666666666667,215,62,275,7
92,106,0.212,311.56666666666666,251,91,234,7
93,128,0.256,318.9666666666667,257,111,226,7
94,98,0.196,289.3666666666667,233,83,252,7
95,84,0.168,299.23333333333335,241,72,247,7
96,140,0.28,304.1666666666667,245,120,235,7
97,103,0.206,314.03333333333336,253,89,233,7
98,101,0.202,312.8,252,86,233,7
99,106,0.212,316.5,255,92,231,7
