,kernel_size,kernel_size_n,kernel_size_theoric,nc_diag_prekernel,nc_diag_postkernel,removed_instances,max_removed
0,9,0.9,14,6,6,1,3
1,7,0.7,8,3,3,3,3
2,9,0.9,14,6,6,1,3
3,9,0.9,12,5,5,1,3
4,6,0.6,8,3,3,4,3
5,7,0.7,8,3,3,3,3
6,9,0.9,14,6,6,1,3
7,10,1.0,16,7,7,0,0
8,9,0.9,14,6,6,1,3
9,10,1.0,16,7,7,0,0
10,5,0.5,6,2,2,5,3
11,8,0.8,10,4,4,2,3
12,10,1.0,14,6,6,0,0
13,9,0.9,14,6,6,1,3
14,7,0.7,10,4,4,3,3
15,9,0.9,14,6,6,1,3
16,7,0.7,8,3,3,3,3
17,7,0.7,8,3,3,3,3
18,9,0.9,12,5,5,1,3
19,9,0.9,14,6,6,1,3
20,9,0.9,12,5,5,1,3
21,8,0.8,10,4,4,2,3
22,9,0.9,14,6,6,1,3
23,9,0.9,14,6,6,1,3
24,9,0.9,14,6,6,1,3
25,7,0.7,10,4,4,3,3
26,7,0.7,10,4,4,3,3
27,9,0.9,12,5,5,1,3
28,9,0.9,12,5,5,1,3
29,7,0.7,8,3,3,3,3
30,8,0.8,10,4,4,2,3
31,9,0.9,12,5,5,1,3
32,10,1.0,14,6,6,0,0
33,7,0.7,8,3,3,3,3
34,7,0.7,10,4,4,3,3
35,9,0.9,14,6,6,1,3
36,8,0.8,10,4,4,2,3
37,8,0.8,10,4,4,2,3
38,9,0.9,14,6,6,1,3
39,10,1.0,16,7,7,0,0
40,9,0.9,10,4,4,1,3
41,8,0.8,12,5,5,2,3
42,8,0.8,12,5,5,2,3
43,10,1.0,12,5,5,0,0
44,9,0.9,14,6,6,1,3
45,10,1.0,14,6,6,0,0
46,6,0.6,6,2,2,4,3
47,6,0.6,8,3,3,4,3
48,10,1.0,14,6,6,0,0
49,8,0.8,12,5,5,2,3
50,6,0.6,8,3,3,4,3
51,9,0.9,14,6,6,1,3
52,10,1.0,12,5,5,0,0
53,9,0.9,14,6,6,1,3
54,9,0.9,10,4,4,1,3
55,6,0.6,8,3,3,4,3
56,9,0.9,10,4,4,1,3
57,8,0.8,10,4,4,2,3
58,10,1.0,16,7,7,0,0
59,6,0.6,8,3,3,4,3
60,9,0.9,14,6,6,1,3
61,7,0.7,10,4,4,3,3
62,10,1.0,16,7,7,0,0
63,9,0.9,14,6,6,1,3
64,8,0.8,12,5,5,2,3
65,9,0.9,14,6,6,1,3
66,6,0.6,8,3,3,4,3
67,7,0.7,10,4,4,3,3
68,9,0.9,12,5,5,1,3
69,7,0.7,8,3,3,3,3
70,10,1.0,16,7,7,0,0
71,8,0.8,12,5,5,2,3
72,9,0.9,12,5,5,1,3
73,10,1.0,12,5,5,0,0
74,8,0.8,12,5,5,2,3
75,9,0.9,14,6,6,1,3
76,9,0.9,14,6,6,1,3
77,10,1.0,14,6,6,0,0
78,8,0.8,10,4,4,2,3
79,6,0.6,6,2,2,4,3
80,8,0.8,10,4,4,2,3
81,9,0.9,14,6,6,1,3
82,8,0.8,12,5,5,2,3
83,8,0.8,12,5,5,2,3
84,6,0.6,8,3,3,4,3
85,9,0.9,14,6,6,1,3
86,10,1.0,16,7,7,0,0
87,7,0.7,10,4,4,3,3
88,6,0.6,6,2,2,4,3
89,10,1.0,16,7,7,0,0
90,9,0.9,14,6,6,1,3
91,10,1.0,14,6,6,0,0
92,9,0.9,12,5,5,1,3
93,9,0.9,14,6,6,1,3
94,9,0.9,14,6,6,1,3
95,10,1.0,14,6,6,0,0
96,8,0.8,12,5,5,2,3
97,10,1.0,16,7,7,0,0
98,9,0.9,14,6,6,1,3
99,9,0.9,14,6,6,1,3
