,kernel_size,kernel_size_n,kernel_size_theoric,nc_diag_prekernel,nc_diag_postkernel,removed_instances,max_removed
0,45,0.09,216.79999999999998,179,37,313,7
1,32,0.064,219.2,181,26,313,7
2,44,0.088,209.6,173,37,320,7
3,21,0.042,194.0,160,16,335,7
4,40,0.08,215.6,178,32,314,7
5,34,0.068,203.6,168,27,325,7
6,55,0.11,201.2,166,45,324,7
7,28,0.056,215.6,178,22,316,7
8,37,0.074,210.79999999999998,174,30,319,7
9,37,0.074,206.0,170,30,323,7
10,15,0.03,194.0,160,11,336,7
11,29,0.058,192.79999999999998,159,23,335,7
12,24,0.048,204.79999999999998,169,19,326,7
13,29,0.058,206.0,170,23,324,7
14,30,0.06,219.2,181,24,313,7
15,8,0.016,186.79999999999998,154,5,343,7
16,21,0.042,184.4,152,16,343,7
17,14,0.028,189.2,156,10,340,7
18,16,0.032,186.79999999999998,154,12,342,7
19,8,0.016,188.0,155,5,342,7
20,21,0.042,231.2,191,16,304,7
21,41,0.082,216.79999999999998,179,33,313,7
22,10,0.02,194.0,160,7,337,7
23,25,0.05,212.0,175,20,320,7
24,24,0.048,201.2,166,19,329,7
25,8,0.016,191.6,158,5,339,7
26,31,0.062,206.0,170,25,324,7
27,29,0.058,191.6,158,24,337,7
28,34,0.068,212.0,175,27,318,7
29,29,0.058,194.0,160,24,335,7
30,42,0.084,197.6,163,34,329,7
31,24,0.048,204.79999999999998,169,19,326,7
32,43,0.086,206.0,170,35,322,7
33,28,0.056,220.4,182,22,312,7
34,14,0.028,197.6,163,10,333,7
35,21,0.042,201.2,166,16,329,7
36,46,0.092,206.0,170,38,322,7
37,31,0.062,208.4,172,25,322,7
38,41,0.082,209.6,173,34,320,7
39,14,0.028,219.2,181,10,315,7
40,9,0.018,191.6,158,6,339,7
41,41,0.082,208.4,172,33,320,7
42,9,0.018,202.4,167,6,330,7
43,39,0.078,221.6,183,32,310,6
44,21,0.042,188.0,155,16,340,7
45,11,0.022,206.0,170,8,327,7
46,30,0.06,192.79999999999998,159,24,335,7
47,29,0.058,185.6,153,23,341,7
48,9,0.018,191.6,158,6,339,7
49,15,0.03,210.79999999999998,174,11,322,7
50,40,0.08,207.2,171,32,321,7
51,18,0.036,204.79999999999998,169,14,327,7
52,35,0.07,206.0,170,29,324,7
53,44,0.088,198.79999999999998,164,36,328,7
54,20,0.04,218.0,180,15,315,7
55,35,0.07,196.4,162,28,331,7
56,40,0.08,210.79999999999998,174,32,318,7
57,33,0.066,189.2,156,27,338,7
58,14,0.028,206.0,170,10,326,7
59,36,0.072,202.4,167,29,326,7
60,26,0.052,225.2,186,20,308,7
61,16,0.032,190.4,157,12,339,7
62,27,0.054,182.0,150,21,344,7
63,14,0.028,200.0,165,10,331,7
64,14,0.028,188.0,155,10,341,7
65,20,0.04,209.6,173,15,322,7
66,9,0.018,190.4,157,6,340,7
67,9,0.018,214.4,177,6,320,7
68,20,0.04,200.0,165,15,330,7
69,44,0.088,214.4,177,36,315,7
70,30,0.06,203.6,168,24,326,7
71,8,0.016,207.2,171,5,326,7
72,20,0.04,191.6,158,15,337,7
73,51,0.102,207.2,171,44,322,7
74,37,0.074,215.6,178,30,315,7
75,34,0.068,195.2,161,27,332,7
76,29,0.058,220.4,182,23,312,7
77,45,0.09,204.79999999999998,169,37,323,7
78,16,0.032,195.2,161,12,335,7
79,37,0.074,198.79999999999998,164,30,329,7
80,26,0.052,195.2,161,20,333,7
81,21,0.042,201.2,166,16,329,7
82,24,0.048,210.79999999999998,174,19,321,7
83,53,0.106,204.79999999999998,169,43,321,7
84,14,0.028,184.4,152,10,344,7
85,23,0.046,191.6,158,18,337,7
86,24,0.048,215.6,178,19,317,7
87,8,0.016,188.0,155,5,342,7
88,24,0.048,210.79999999999998,174,19,321,7
89,22,0.044,209.6,173,17,322,7
90,9,0.018,191.6,158,6,339,7
91,26,0.052,184.4,152,20,342,7
92,32,0.064,216.79999999999998,179,26,315,7
93,22,0.044,196.4,162,17,333,7
94,9,0.018,196.4,162,6,335,7
95,22,0.044,209.6,173,17,322,7
96,46,0.092,216.79999999999998,179,38,313,7
97,22,0.044,200.0,165,17,330,7
98,38,0.076,194.0,160,32,334,7
99,8,0.016,198.79999999999998,164,5,333,7
