,kernel_size,kernel_size_n,kernel_size_theoric,nc_diag_prekernel,nc_diag_postkernel,removed_instances,max_removed
0,14,0.14,59.2,52,11,45,12
1,0,0.0,64.7,57,0,41,11
2,46,0.46,74.60000000000001,66,41,29,9
3,19,0.19,60.300000000000004,53,16,44,11
4,13,0.13,68.0,60,10,37,10
5,29,0.29,71.30000000000001,63,26,34,11
6,13,0.13,64.7,57,10,40,12
7,27,0.27,69.10000000000001,61,24,36,11
8,27,0.27,74.60000000000001,66,23,30,11
9,14,0.14,71.30000000000001,63,11,34,12
10,0,0.0,71.30000000000001,63,0,35,11
11,42,0.42,79.0,70,38,26,8
12,14,0.14,53.7,47,11,50,10
13,27,0.27,68.0,60,24,37,9
14,52,0.52,76.80000000000001,68,46,26,8
15,24,0.24,69.10000000000001,61,20,35,11
16,30,0.3,65.80000000000001,58,26,38,10
17,21,0.21,68.0,60,18,37,12
18,65,0.65,76.80000000000001,68,59,26,5
19,27,0.27,79.0,70,23,26,12
20,36,0.36,74.60000000000001,66,32,30,10
21,0,0.0,69.10000000000001,61,0,37,12
22,0,0.0,60.300000000000004,53,0,45,11
23,0,0.0,62.50000000000001,55,0,43,11
24,14,0.14,65.80000000000001,58,11,39,11
25,0,0.0,66.9,59,0,39,10
26,0,0.0,64.7,57,0,41,12
27,19,0.19,71.30000000000001,63,16,34,11
28,16,0.16,61.400000000000006,54,13,43,9
29,18,0.18,60.300000000000004,53,15,44,11
30,0,0.0,57.00000000000001,50,0,48,9
31,16,0.16,69.10000000000001,61,13,36,12
32,19,0.19,73.5,65,16,32,11
33,28,0.28,69.10000000000001,61,24,35,11
34,0,0.0,62.50000000000001,55,0,43,11
35,43,0.43,71.30000000000001,63,39,33,8
36,46,0.46,84.5,75,42,21,12
37,13,0.13,70.2,62,10,35,10
38,18,0.18,65.80000000000001,58,15,39,10
39,13,0.13,62.50000000000001,55,10,42,9
40,26,0.26,66.9,59,23,38,12
41,23,0.23,75.7,67,20,30,8
42,0,0.0,68.0,60,0,38,11
43,0,0.0,60.300000000000004,53,0,45,11
44,0,0.0,52.6,46,0,52,9
45,13,0.13,74.60000000000001,66,10,31,12
46,38,0.38,77.9,69,34,27,9
47,0,0.0,72.4,64,0,34,12
48,0,0.0,70.2,62,0,36,12
49,34,0.34,71.30000000000001,63,30,33,9
50,33,0.33,68.0,60,29,36,11
51,15,0.15,62.50000000000001,55,12,42,11
52,52,0.52,70.2,62,47,33,8
53,28,0.28,75.7,67,24,29,11
54,15,0.15,69.10000000000001,61,12,36,12
55,35,0.35,62.50000000000001,55,31,41,6
56,26,0.26,65.80000000000001,58,22,38,11
57,15,0.15,65.80000000000001,58,12,39,12
58,0,0.0,64.7,57,0,41,12
59,18,0.18,73.5,65,15,32,12
60,34,0.34,66.9,59,30,37,10
61,0,0.0,60.300000000000004,53,0,45,9
62,0,0.0,68.0,60,0,38,10
63,23,0.23,64.7,57,20,40,8
64,0,0.0,64.7,57,0,41,11
65,20,0.2,70.2,62,17,35,11
66,0,0.0,68.0,60,0,38,12
67,42,0.42,74.60000000000001,66,37,29,7
68,13,0.13,65.80000000000001,58,10,39,11
69,23,0.23,75.7,67,20,30,12
70,0,0.0,69.10000000000001,61,0,37,12
71,20,0.2,73.5,65,17,32,11
72,17,0.17,66.9,59,14,38,9
73,14,0.14,68.0,60,11,37,10
74,21,0.21,64.7,57,18,40,9
75,30,0.3,75.7,67,27,30,9
76,0,0.0,62.50000000000001,55,0,43,12
77,27,0.27,66.9,59,23,37,7
78,0,0.0,61.400000000000006,54,0,44,12
79,36,0.36,72.4,64,32,32,7
80,32,0.32,75.7,67,29,30,11
81,19,0.19,69.10000000000001,61,16,36,12
82,46,0.46,62.50000000000001,55,41,40,6
83,0,0.0,55.900000000000006,49,0,49,10
84,14,0.14,63.60000000000001,56,11,41,11
85,16,0.16,64.7,57,13,40,10
86,14,0.14,70.2,62,11,35,11
87,14,0.14,80.10000000000001,71,11,26,12
88,17,0.17,71.30000000000001,63,14,34,11
89,36,0.36,71.30000000000001,63,31,32,10
90,13,0.13,71.30000000000001,63,10,34,12
91,38,0.38,70.2,62,33,33,9
92,31,0.31,72.4,64,27,32,8
93,26,0.26,68.0,60,23,37,9
94,27,0.27,66.9,59,23,37,8
95,14,0.14,69.10000000000001,61,11,36,11
96,19,0.19,61.400000000000006,54,16,43,11
97,49,0.49,74.60000000000001,66,44,29,10
98,26,0.26,74.60000000000001,66,23,31,11
99,25,0.25,68.0,60,22,37,8
