,kernel_size,kernel_size_n,kernel_size_theoric,nc_diag_prekernel,nc_diag_postkernel,removed_instances,max_removed
0,59,0.59,83.6,68,53,26,6
1,71,0.71,87.2,71,64,22,6
2,48,0.48,77.6,63,40,29,7
3,67,0.67,86.0,70,60,23,7
4,61,0.61,88.39999999999999,72,56,23,7
5,44,0.44,82.39999999999999,67,39,28,7
6,61,0.61,89.6,73,54,20,7
7,53,0.53,82.39999999999999,67,46,26,7
8,52,0.52,78.8,64,46,30,7
9,61,0.61,84.8,69,55,25,7
10,43,0.43,75.2,61,37,33,7
11,72,0.72,87.2,71,63,20,6
12,44,0.44,77.6,63,38,31,6
13,43,0.43,72.8,59,38,36,6
14,58,0.58,82.39999999999999,67,50,25,6
15,44,0.44,71.6,58,38,36,6
16,44,0.44,77.6,63,38,31,7
17,38,0.38,76.39999999999999,62,33,33,7
18,53,0.53,71.6,58,47,36,6
19,42,0.42,78.8,64,35,29,7
20,48,0.48,71.6,58,41,35,7
21,43,0.43,82.39999999999999,67,35,25,7
22,70,0.7,82.39999999999999,67,61,24,4
23,58,0.58,82.39999999999999,67,49,24,7
24,62,0.62,84.8,69,54,23,6
25,61,0.61,83.6,68,55,26,7
26,44,0.44,74.0,60,38,34,7
27,57,0.57,82.39999999999999,67,50,26,7
28,44,0.44,81.2,66,39,29,7
29,69,0.69,82.39999999999999,67,61,25,5
30,39,0.39,80.0,65,33,29,7
31,47,0.47,75.2,61,39,31,7
32,57,0.57,87.2,71,49,21,7
33,55,0.55,83.6,68,48,25,7
34,70,0.7,93.2,76,62,16,7
35,65,0.65,82.39999999999999,67,60,28,6
36,47,0.47,77.6,63,39,29,7
37,41,0.41,72.8,59,35,35,7
38,51,0.51,78.8,64,46,31,6
39,55,0.55,82.39999999999999,67,50,28,6
40,54,0.54,78.8,64,46,28,7
41,59,0.59,78.8,64,51,28,6
42,44,0.44,70.39999999999999,57,37,36,6
43,41,0.41,74.0,60,35,34,7
44,45,0.45,77.6,63,40,32,7
45,50,0.5,80.0,65,44,29,6
46,66,0.66,82.39999999999999,67,57,24,5
47,59,0.59,87.2,71,53,23,7
48,51,0.51,87.2,71,45,23,7
49,53,0.53,84.8,69,47,25,6
50,76,0.76,89.6,73,68,19,5
51,42,0.42,83.6,68,36,26,7
52,56,0.56,78.8,64,48,28,6
53,47,0.47,72.8,59,40,34,7
54,49,0.49,84.8,69,43,25,7
55,65,0.65,87.2,71,58,22,7
56,36,0.36,75.2,61,29,32,7
57,65,0.65,89.6,73,57,19,7
58,35,0.35,78.8,64,30,31,7
59,62,0.62,82.39999999999999,67,55,26,5
60,29,0.29,69.2,56,24,39,6
61,34,0.34,75.2,61,28,33,7
62,64,0.64,82.39999999999999,67,55,24,6
63,46,0.46,78.8,64,39,29,7
64,61,0.61,82.39999999999999,67,52,24,7
65,48,0.48,86.0,70,40,22,7
66,58,0.58,82.39999999999999,67,50,25,6
67,52,0.52,80.0,65,46,29,7
68,53,0.53,84.8,69,47,25,7
69,46,0.46,87.2,71,42,25,7
70,69,0.69,87.2,71,62,22,6
71,68,0.68,86.0,70,61,23,5
72,60,0.6,89.6,73,53,20,7
73,53,0.53,82.39999999999999,67,47,27,7
74,70,0.7,92.0,75,64,19,5
75,42,0.42,74.0,60,35,33,7
76,51,0.51,80.0,65,43,27,7
77,46,0.46,75.2,61,40,33,7
78,59,0.59,90.8,74,53,20,7
79,37,0.37,72.8,59,31,35,7
80,66,0.66,83.6,68,58,24,7
81,57,0.57,90.8,74,52,21,7
82,47,0.47,80.0,65,40,28,7
83,73,0.73,88.39999999999999,72,63,18,6
84,54,0.54,78.8,64,49,31,6
85,43,0.43,71.6,58,36,35,7
86,60,0.6,80.0,65,51,26,7
87,59,0.59,88.39999999999999,72,52,21,7
88,56,0.56,82.39999999999999,67,49,26,7
89,54,0.54,75.2,61,46,31,7
90,51,0.51,82.39999999999999,67,44,26,6
91,40,0.4,82.39999999999999,67,35,28,7
92,44,0.44,76.39999999999999,62,38,32,7
93,50,0.5,88.39999999999999,72,43,21,7
94,32,0.32,70.39999999999999,57,27,38,7
95,51,0.51,76.39999999999999,62,44,31,7
96,66,0.66,87.2,71,58,21,7
97,51,0.51,80.0,65,44,28,6
98,30,0.3,70.39999999999999,57,24,37,7
99,62,0.62,84.8,69,54,23,6
