,kernel_size,kernel_size_n,kernel_size_theoric,nc_diag_prekernel,nc_diag_postkernel,removed_instances,max_removed
0,174,0.174,178,88,88,826,3
1,190,0.19,198,98,98,810,3
2,175,0.175,186,92,92,825,3
3,174,0.174,188,93,93,826,3
4,173,0.173,190,94,94,827,3
5,168,0.168,178,88,88,832,3
6,180,0.18,190,94,94,820,3
7,173,0.173,178,88,88,827,3
8,175,0.175,186,92,92,825,3
9,169,0.169,182,90,90,831,3
10,171,0.171,182,90,90,829,3
11,173,0.173,184,91,91,827,3
12,172,0.172,182,90,90,828,3
13,172,0.172,182,90,90,828,3
14,163,0.163,170,84,84,837,3
15,169,0.169,180,89,89,831,3
16,180,0.18,190,94,94,820,3
17,163,0.163,174,86,86,837,3
18,170,0.17,180,89,89,830,3
19,171,0.171,186,92,92,829,3
20,176,0.176,188,93,93,824,3
21,179,0.179,188,93,93,821,3
22,171,0.171,184,91,91,829,3
23,179,0.179,186,92,92,821,3
24,179,0.179,190,94,94,821,3
25,172,0.172,182,90,90,828,3
26,170,0.17,182,90,90,830,3
27,163,0.163,174,86,86,837,3
28,169,0.169,186,92,92,831,3
29,172,0.172,182,90,90,828,3
30,170,0.17,178,88,88,830,3
31,178,0.178,194,96,96,822,3
32,183,0.183,194,96,96,817,3
33,173,0.173,182,90,90,827,3
34,171,0.171,178,88,88,829,3
35,170,0.17,182,90,90,830,3
36,167,0.167,174,86,86,833,3
37,176,0.176,190,94,94,824,3
38,163,0.163,174,86,86,837,3
39,180,0.18,186,92,92,820,3
40,166,0.166,178,88,88,834,3
41,186,0.186,194,96,96,814,3
42,171,0.171,182,90,90,829,3
43,176,0.176,186,92,92,824,3
44,177,0.177,190,94,94,823,3
45,182,0.182,194,96,96,818,3
46,179,0.179,186,92,92,821,3
47,178,0.178,186,92,92,822,3
48,177,0.177,190,94,94,823,3
49,176,0.176,186,92,92,824,3
50,186,0.186,194,96,96,814,3
51,178,0.178,186,92,92,822,3
52,170,0.17,178,88,88,830,3
53,174,0.174,186,92,92,826,3
54,181,0.181,190,94,94,819,3
55,167,0.167,184,91,91,833,3
56,178,0.178,190,94,94,822,3
57,163,0.163,178,88,88,837,3
58,167,0.167,174,86,86,833,3
59,181,0.181,194,96,96,819,3
60,190,0.19,194,96,96,810,3
61,170,0.17,176,87,87,830,3
62,170,0.17,182,90,90,830,3
63,174,0.174,186,92,92,826,3
64,169,0.169,176,87,87,831,3
65,178,0.178,190,94,94,822,3
66,182,0.182,194,96,96,818,3
67,172,0.172,182,90,90,828,3
68,160,0.16,164,81,81,840,3
69,178,0.178,190,94,94,822,3
70,174,0.174,188,93,93,826,3
71,168,0.168,178,88,88,832,3
72,180,0.18,188,93,93,820,3
73,176,0.176,186,92,92,824,3
74,176,0.176,186,92,92,824,3
75,159,0.159,172,85,85,841,3
76,180,0.18,190,94,94,820,3
77,178,0.178,186,92,92,822,3
78,180,0.18,188,93,93,820,3
79,184,0.184,194,96,96,816,3
80,168,0.168,180,89,89,832,3
81,171,0.171,186,92,92,829,3
82,178,0.178,190,94,94,822,3
83,167,0.167,176,87,87,833,3
84,166,0.166,174,86,86,834,3
85,182,0.182,192,95,95,818,3
86,179,0.179,190,94,94,821,3
87,167,0.167,178,88,88,833,3
88,175,0.175,186,92,92,825,3
89,178,0.178,186,92,92,822,3
90,176,0.176,190,94,94,824,3
91,170,0.17,184,91,91,830,3
92,176,0.176,186,92,92,824,3
93,176,0.176,184,91,91,824,3
94,162,0.162,170,84,84,838,3
95,181,0.181,190,94,94,819,3
96,174,0.174,182,90,90,826,3
97,171,0.171,182,90,90,829,3
98,168,0.168,178,88,88,832,3
99,159,0.159,170,84,84,841,3
