,kernel_size,kernel_size_n,kernel_size_theoric,nc_diag_prekernel,nc_diag_postkernel,removed_instances,max_removed
0,0,0.0,186.33333333333334,158,0,340,7
1,0,0.0,184.0,156,0,342,8
2,46,0.092,191.0,162,38,330,8
3,30,0.06,194.5,165,24,329,7
4,17,0.034,191.0,162,13,334,8
5,10,0.02,196.83333333333334,167,7,330,8
6,21,0.042,234.16666666666669,199,17,297,8
7,21,0.042,189.83333333333334,161,17,335,7
8,0,0.0,198.0,168,0,330,8
9,33,0.066,187.5,159,27,335,8
10,16,0.032,205.0,174,12,322,7
11,9,0.018,188.66666666666669,160,6,337,8
12,0,0.0,180.5,153,0,345,8
13,10,0.02,189.83333333333334,161,7,336,8
14,24,0.048,203.83333333333334,173,19,322,8
15,26,0.052,194.5,165,21,330,8
16,12,0.024,203.83333333333334,173,9,324,7
17,0,0.0,201.5,171,0,327,8
18,16,0.032,201.5,171,12,325,8
19,12,0.024,200.33333333333334,170,9,327,8
20,9,0.018,201.5,171,6,326,8
21,19,0.038,192.16666666666669,163,15,333,8
22,9,0.018,214.33333333333334,182,6,315,8
23,33,0.066,207.33333333333334,176,27,318,8
24,9,0.018,206.16666666666669,175,6,322,8
25,32,0.064,202.66666666666669,172,27,323,7
26,0,0.0,199.16666666666669,169,0,329,8
27,35,0.07,191.0,162,29,332,8
28,11,0.022,200.33333333333334,170,8,327,8
29,23,0.046,194.5,165,18,330,8
30,17,0.034,212.0,180,13,316,7
31,47,0.094,210.83333333333334,179,40,314,8
32,0,0.0,175.83333333333334,149,0,349,7
33,0,0.0,201.5,171,0,327,8
34,10,0.02,196.83333333333334,167,7,330,8
35,24,0.048,184.0,156,19,339,8
36,9,0.018,215.5,183,6,314,8
37,0,0.0,203.83333333333334,173,0,325,8
38,0,0.0,214.33333333333334,182,0,316,8
39,41,0.082,193.33333333333334,164,34,329,7
40,55,0.11,193.33333333333334,164,48,329,8
41,25,0.05,184.0,156,20,339,8
42,18,0.036,187.5,159,14,337,8
43,11,0.022,201.5,171,8,326,8
44,16,0.032,206.16666666666669,175,12,321,8
45,9,0.018,184.0,156,6,341,8
46,11,0.022,193.33333333333334,164,8,333,8
47,31,0.062,213.16666666666669,181,26,314,8
48,10,0.02,187.5,159,7,338,8
49,17,0.034,175.83333333333334,149,13,347,8
50,16,0.032,201.5,171,12,325,8
51,10,0.02,191.0,162,7,335,7
52,16,0.032,208.5,177,12,319,8
53,0,0.0,184.0,156,0,342,8
54,0,0.0,203.83333333333334,173,0,325,8
55,13,0.026,194.5,165,10,332,8
56,18,0.036,203.83333333333334,173,14,323,8
57,10,0.02,178.16666666666669,151,7,346,8
58,28,0.056,203.83333333333334,173,23,322,7
59,16,0.032,205.0,174,12,322,7
60,0,0.0,192.16666666666669,163,0,335,7
61,29,0.058,202.66666666666669,172,24,323,8
62,25,0.05,202.66666666666669,172,20,323,8
63,32,0.064,223.66666666666669,190,26,304,8
64,24,0.048,214.33333333333334,182,19,313,8
65,22,0.044,188.66666666666669,160,18,336,8
66,11,0.022,194.5,165,8,332,8
67,11,0.022,185.16666666666669,157,8,340,8
68,22,0.044,181.66666666666669,154,18,342,8
69,23,0.046,200.33333333333334,170,18,325,8
70,0,0.0,194.5,165,0,333,8
71,16,0.032,206.16666666666669,175,12,321,8
72,10,0.02,199.16666666666669,169,7,328,8
73,0,0.0,201.5,171,0,327,8
74,9,0.018,196.83333333333334,167,6,330,8
75,12,0.024,186.33333333333334,158,9,339,8
76,16,0.032,202.66666666666669,172,12,324,7
77,11,0.022,205.0,174,8,323,8
78,11,0.022,207.33333333333334,176,8,321,8
79,18,0.036,206.16666666666669,175,14,321,8
80,32,0.064,206.16666666666669,175,27,320,8
81,21,0.042,198.0,168,17,328,8
82,9,0.018,177.0,150,6,347,8
83,10,0.02,201.5,171,7,326,8
84,9,0.018,206.16666666666669,175,6,322,8
85,43,0.086,192.16666666666669,163,36,330,8
86,12,0.024,192.16666666666669,163,9,334,8
87,9,0.018,180.5,153,6,344,8
88,29,0.058,194.5,165,24,330,8
89,18,0.036,188.66666666666669,160,14,336,8
90,10,0.02,193.33333333333334,164,7,333,7
91,12,0.024,203.83333333333334,173,9,324,8
92,10,0.02,201.5,171,7,326,8
93,16,0.032,196.83333333333334,167,13,330,7
94,31,0.062,206.16666666666669,175,25,319,8
95,10,0.02,205.0,174,7,323,8
96,0,0.0,191.0,162,0,336,8
97,11,0.022,199.16666666666669,169,8,328,8
98,0,0.0,187.5,159,0,339,8
99,32,0.064,213.16666666666669,181,26,313,8
