,kernel_size,kernel_size_n,kernel_size_theoric,nc_diag_prekernel,nc_diag_postkernel,removed_instances,max_removed
0,29,0.29,67.86666666666666,52,24,43,6
1,31,0.31,66.6,51,24,42,6
2,45,0.45,78.0,60,37,32,6
3,47,0.47,80.53333333333333,62,41,32,6
4,38,0.38,60.266666666666666,46,31,47,6
5,24,0.24,64.06666666666666,49,18,45,6
6,23,0.23,60.266666666666666,46,18,49,6
7,26,0.26,61.53333333333333,47,20,47,6
8,26,0.26,65.33333333333333,50,20,44,6
9,34,0.34,67.86666666666666,52,27,41,6
10,28,0.28,72.93333333333334,56,22,38,6
11,33,0.33,71.66666666666666,55,27,39,6
12,46,0.46,70.39999999999999,54,37,37,5
13,46,0.46,71.66666666666666,55,38,37,6
14,21,0.21,62.8,48,16,47,6
15,33,0.33,59.0,45,26,48,6
16,32,0.32,69.13333333333333,53,26,41,6
17,29,0.29,62.8,48,24,47,6
18,34,0.34,67.86666666666666,52,27,41,6
19,18,0.18,67.86666666666666,52,14,44,6
20,34,0.34,60.266666666666666,46,28,48,6
21,35,0.35,71.66666666666666,55,28,38,6
22,42,0.42,70.39999999999999,54,35,39,6
23,33,0.33,66.6,51,26,42,6
24,19,0.19,59.0,45,15,51,6
25,27,0.27,61.53333333333333,47,21,47,6
26,35,0.35,61.53333333333333,47,29,47,6
27,39,0.39,67.86666666666666,52,31,40,6
28,41,0.41,74.2,57,35,37,6
29,31,0.31,65.33333333333333,50,25,44,6
30,24,0.24,64.06666666666666,49,18,45,6
31,28,0.28,62.8,48,23,47,6
32,46,0.46,75.46666666666667,58,39,35,6
33,29,0.29,65.33333333333333,50,23,44,6
34,41,0.41,67.86666666666666,52,33,40,6
35,25,0.25,65.33333333333333,50,21,46,6
36,46,0.46,70.39999999999999,54,39,39,5
37,30,0.3,66.6,51,24,43,6
38,26,0.26,59.0,45,21,50,6
39,36,0.36,70.39999999999999,54,29,39,6
40,31,0.31,65.33333333333333,50,25,44,6
41,36,0.36,72.93333333333334,56,30,38,6
42,38,0.38,65.33333333333333,50,32,44,6
43,28,0.28,57.733333333333334,44,22,50,6
44,28,0.28,57.733333333333334,44,22,50,6
45,34,0.34,62.8,48,28,46,6
46,49,0.49,66.6,51,42,42,5
47,39,0.39,69.13333333333333,53,33,41,6
48,16,0.16,52.666666666666664,40,12,56,6
49,50,0.5,71.66666666666666,55,42,37,6
50,30,0.3,72.93333333333334,56,24,38,6
51,53,0.53,79.26666666666667,61,45,31,6
52,25,0.25,65.33333333333333,50,19,44,6
53,37,0.37,70.39999999999999,54,31,40,6
54,14,0.14,60.266666666666666,46,10,50,6
55,21,0.21,64.06666666666666,49,16,46,6
56,14,0.14,56.46666666666666,43,10,53,6
57,39,0.39,71.66666666666666,55,32,38,6
58,39,0.39,69.13333333333333,53,32,40,6
59,22,0.22,60.266666666666666,46,17,49,6
60,42,0.42,78.0,60,35,33,6
61,35,0.35,61.53333333333333,47,28,46,6
62,14,0.14,61.53333333333333,47,10,49,6
63,27,0.27,60.266666666666666,46,21,48,6
64,18,0.18,66.6,51,13,44,6
65,18,0.18,62.8,48,13,47,6
66,32,0.32,65.33333333333333,50,26,44,6
67,29,0.29,65.33333333333333,50,23,44,6
68,51,0.51,78.0,60,44,33,6
69,24,0.24,64.06666666666666,49,19,46,6
70,22,0.22,57.733333333333334,44,17,51,6
71,39,0.39,67.86666666666666,52,33,42,6
72,28,0.28,66.6,51,23,44,6
73,40,0.4,67.86666666666666,52,32,40,6
74,40,0.4,62.8,48,32,44,6
75,15,0.15,47.599999999999994,36,11,60,6
76,49,0.49,76.73333333333333,59,43,35,5
77,19,0.19,59.0,45,14,50,6
78,27,0.27,65.33333333333333,50,22,45,6
79,38,0.38,65.33333333333333,50,31,43,6
80,26,0.26,69.13333333333333,53,20,41,6
81,25,0.25,69.13333333333333,53,19,41,6
82,20,0.2,57.733333333333334,44,15,51,6
83,30,0.3,65.33333333333333,50,24,44,6
84,55,0.55,81.8,63,48,30,6
85,20,0.2,64.06666666666666,49,16,47,6
86,41,0.41,72.93333333333334,56,33,36,6
87,34,0.34,67.86666666666666,52,27,41,6
88,43,0.43,70.39999999999999,54,36,39,6
89,35,0.35,62.8,48,29,46,6
90,36,0.36,67.86666666666666,52,28,40,6
91,31,0.31,64.06666666666666,49,25,45,6
92,29,0.29,59.0,45,24,50,6
93,19,0.19,62.8,48,14,47,6
94,34,0.34,67.86666666666666,52,28,42,6
95,22,0.22,55.199999999999996,42,16,52,6
96,18,0.18,55.199999999999996,42,13,53,6
97,38,0.38,64.06666666666666,49,30,43,5
98,30,0.3,66.6,51,24,43,6
99,24,0.24,50.13333333333333,38,18,56,6
