,kernel_size,kernel_size_n,kernel_size_theoric,nc_diag_prekernel,nc_diag_postkernel,removed_instances,max_removed
0,72,0.072,427.59999999999997,336,58,650,6
1,91,0.091,411.1333333333333,323,73,659,6
2,148,0.148,444.06666666666666,349,121,624,6
3,118,0.118,427.59999999999997,336,98,644,6
4,87,0.087,416.2,327,70,656,6
5,66,0.066,428.8666666666667,337,52,649,6
6,110,0.11,430.1333333333333,338,92,644,6
7,133,0.133,436.46666666666664,343,109,633,6
8,85,0.085,420.0,330,68,653,6
9,103,0.103,437.7333333333333,344,83,636,6
10,83,0.083,421.26666666666665,331,67,653,6
11,77,0.077,406.06666666666666,319,62,666,6
12,66,0.066,418.7333333333333,329,53,658,6
13,85,0.085,433.93333333333334,341,68,642,6
14,59,0.059,401.0,315,46,672,6
15,70,0.07,425.06666666666666,334,56,652,6
16,94,0.094,442.79999999999995,348,75,633,6
17,79,0.079,411.1333333333333,323,65,663,6
18,93,0.093,409.8666666666667,322,76,661,6
19,101,0.101,395.93333333333334,311,81,669,6
20,131,0.131,460.5333333333333,362,108,615,6
21,94,0.094,422.5333333333333,332,77,651,6
22,88,0.088,406.06666666666666,319,73,666,6
23,91,0.091,413.66666666666663,325,73,657,6
24,108,0.108,440.26666666666665,346,89,635,6
25,123,0.123,435.2,342,101,636,6
26,95,0.095,427.59999999999997,336,76,645,6
27,97,0.097,450.4,354,79,628,6
28,100,0.1,414.93333333333334,326,81,655,6
29,101,0.101,427.59999999999997,336,83,646,6
30,72,0.072,378.2,297,59,690,6
31,99,0.099,451.66666666666663,355,80,626,6
32,107,0.107,436.46666666666664,343,87,637,6
33,103,0.103,436.46666666666664,343,85,639,6
34,78,0.078,421.26666666666665,331,64,655,6
35,121,0.121,432.66666666666663,340,99,638,6
36,87,0.087,436.46666666666664,343,71,641,6
37,75,0.075,417.46666666666664,328,60,657,6
38,53,0.053,393.4,309,43,681,6
39,83,0.083,439.0,345,68,640,6
40,45,0.045,413.66666666666663,325,35,665,6
41,78,0.078,414.93333333333334,326,64,660,6
42,106,0.106,439.0,345,85,634,6
43,58,0.058,417.46666666666664,328,46,660,6
44,77,0.077,441.5333333333333,347,63,639,6
45,69,0.069,425.06666666666666,334,55,652,6
46,56,0.056,408.59999999999997,321,45,668,6
47,79,0.079,437.7333333333333,344,64,641,6
48,78,0.078,449.1333333333333,353,63,632,6
49,74,0.074,425.06666666666666,334,60,652,6
50,82,0.082,416.2,327,65,656,6
51,80,0.08,403.5333333333333,317,64,667,6
52,112,0.112,460.5333333333333,362,91,617,6
53,88,0.088,412.4,324,71,659,6
54,116,0.116,425.06666666666666,334,95,645,6
55,108,0.108,440.26666666666665,346,89,635,6
56,121,0.121,437.7333333333333,344,99,634,6
57,105,0.105,459.26666666666665,361,84,618,6
58,121,0.121,447.8666666666667,352,98,625,6
59,62,0.062,412.4,324,50,664,6
60,126,0.126,456.7333333333333,359,102,617,6
61,122,0.122,437.7333333333333,344,100,634,6
62,49,0.049,401.0,315,38,674,6
63,113,0.113,433.93333333333334,341,91,637,6
64,86,0.086,411.1333333333333,323,69,660,6
65,51,0.051,404.79999999999995,318,41,672,6
66,66,0.066,430.1333333333333,338,53,649,6
67,101,0.101,433.93333333333334,341,83,641,6
68,35,0.035,416.2,327,27,665,6
69,100,0.1,427.59999999999997,336,82,646,6
70,87,0.087,422.5333333333333,332,70,651,6
71,72,0.072,433.93333333333334,341,57,644,6
72,90,0.09,417.46666666666664,328,73,655,6
73,102,0.102,445.3333333333333,350,83,631,6
74,81,0.081,427.59999999999997,336,65,648,6
75,62,0.062,399.7333333333333,314,49,673,6
76,84,0.084,444.06666666666666,349,69,636,6
77,54,0.054,413.66666666666663,325,43,664,6
78,102,0.102,445.3333333333333,350,84,632,6
79,112,0.112,416.2,327,92,653,6
80,94,0.094,440.26666666666665,346,78,638,6
81,128,0.128,451.66666666666663,355,106,623,6
82,94,0.094,439.0,345,76,637,6
83,101,0.101,437.7333333333333,344,81,636,6
84,82,0.082,435.2,342,66,642,6
85,72,0.072,449.1333333333333,353,57,632,6
86,98,0.098,417.46666666666664,328,81,655,6
87,81,0.081,426.3333333333333,335,66,650,6
88,88,0.088,433.93333333333334,341,71,642,6
89,118,0.118,439.0,345,97,634,6
90,99,0.099,440.26666666666665,346,80,635,6
91,87,0.087,414.93333333333334,326,70,657,6
92,55,0.055,402.26666666666665,316,44,673,6
93,133,0.133,418.7333333333333,329,109,647,6
94,99,0.099,433.93333333333334,341,81,641,6
95,100,0.1,437.7333333333333,344,81,637,6
96,94,0.094,421.26666666666665,331,76,651,6
97,65,0.065,412.4,324,53,664,6
98,68,0.068,417.46666666666664,328,54,658,6
99,55,0.055,430.1333333333333,338,45,652,6
