,kernel_size,kernel_size_n,kernel_size_theoric,nc_diag_prekernel,nc_diag_postkernel,removed_instances,max_removed
0,0,0.0,37.2,32,0,16,12
1,14,0.28,40.5,35,11,12,11
2,15,0.3,35.0,30,12,17,7
3,13,0.26,32.800000000000004,28,10,19,7
4,18,0.36,35.0,30,15,17,8
5,14,0.28,33.900000000000006,29,11,18,8
6,14,0.28,38.300000000000004,33,11,14,12
7,16,0.32,37.2,32,13,15,12
8,32,0.64,43.800000000000004,38,28,8,8
9,14,0.28,33.900000000000006,29,11,18,7
10,17,0.34,39.400000000000006,34,14,13,12
11,14,0.28,32.800000000000004,28,11,19,9
12,16,0.32,37.2,32,13,15,9
13,17,0.34,29.500000000000004,25,14,22,6
14,13,0.26,27.3,23,10,24,6
15,0,0.0,35.0,30,0,18,8
16,0,0.0,31.700000000000003,27,0,21,11
17,0,0.0,38.300000000000004,33,0,15,10
18,17,0.34,35.0,30,14,17,6
19,0,0.0,32.800000000000004,28,0,20,11
20,20,0.4,37.2,32,17,15,12
21,22,0.44,40.5,35,19,12,10
22,16,0.32,38.300000000000004,33,13,14,10
23,0,0.0,26.200000000000003,22,0,26,7
24,0,0.0,29.500000000000004,25,0,23,10
25,14,0.28,35.0,30,11,17,10
26,0,0.0,24.0,20,0,28,7
27,0,0.0,32.800000000000004,28,0,20,12
28,0,0.0,29.500000000000004,25,0,23,7
29,0,0.0,32.800000000000004,28,0,20,8
30,0,0.0,30.6,26,0,22,10
31,15,0.3,32.800000000000004,28,12,19,8
32,0,0.0,27.3,23,0,25,9
33,0,0.0,31.700000000000003,27,0,21,8
34,13,0.26,31.700000000000003,27,10,20,8
35,0,0.0,30.6,26,0,22,12
36,0,0.0,32.800000000000004,28,0,20,11
37,16,0.32,38.300000000000004,33,13,14,10
38,23,0.46,40.5,35,20,12,12
39,0,0.0,33.900000000000006,29,0,19,10
40,19,0.38,32.800000000000004,28,16,19,7
41,0,0.0,26.200000000000003,22,0,26,8
42,13,0.26,32.800000000000004,28,10,19,7
43,21,0.42,42.7,37,18,10,10
44,17,0.34,38.300000000000004,33,14,14,8
45,15,0.3,31.700000000000003,27,12,20,11
46,0,0.0,31.700000000000003,27,0,21,11
47,0,0.0,32.800000000000004,28,0,20,9
48,0,0.0,33.900000000000006,29,0,19,10
49,16,0.32,29.500000000000004,25,13,22,6
50,0,0.0,30.6,26,0,22,11
51,18,0.36,36.1,31,15,16,7
52,15,0.3,37.2,32,12,15,8
53,0,0.0,39.400000000000006,34,0,14,12
54,13,0.26,37.2,32,10,15,8
55,14,0.28,37.2,32,11,15,8
56,0,0.0,30.6,26,0,22,12
57,0,0.0,30.6,26,0,22,10
58,20,0.4,43.800000000000004,38,17,9,9
59,20,0.4,33.900000000000006,29,17,18,8
60,13,0.26,35.0,30,10,17,10
61,13,0.26,32.800000000000004,28,10,19,9
62,31,0.62,38.300000000000004,33,28,14,5
63,0,0.0,33.900000000000006,29,0,19,11
64,0,0.0,31.700000000000003,27,0,21,8
65,13,0.26,35.0,30,10,17,10
66,0,0.0,30.6,26,0,22,10
67,0,0.0,35.0,30,0,18,10
68,20,0.4,37.2,32,17,15,9
69,0,0.0,36.1,31,0,17,11
70,17,0.34,39.400000000000006,34,14,13,11
71,17,0.34,38.300000000000004,33,14,14,10
72,24,0.48,36.1,31,21,16,8
73,16,0.32,35.0,30,13,17,10
74,15,0.3,40.5,35,12,12,12
75,0,0.0,36.1,31,0,17,10
76,13,0.26,36.1,31,10,16,8
77,0,0.0,36.1,31,0,17,9
78,16,0.32,33.900000000000006,29,13,18,8
79,13,0.26,40.5,35,10,12,12
80,13,0.26,32.800000000000004,28,10,19,8
81,0,0.0,33.900000000000006,29,0,19,9
82,0,0.0,28.400000000000002,24,0,24,6
83,15,0.3,31.700000000000003,27,12,20,9
84,0,0.0,33.900000000000006,29,0,19,8
85,14,0.28,37.2,32,11,15,10
86,15,0.3,40.5,35,12,12,10
87,0,0.0,31.700000000000003,27,0,21,9
88,19,0.38,37.2,32,16,15,11
89,16,0.32,35.0,30,13,17,8
90,15,0.3,36.1,31,12,16,10
91,0,0.0,30.6,26,0,22,8
92,0,0.0,29.500000000000004,25,0,23,9
93,0,0.0,38.300000000000004,33,0,15,9
94,0,0.0,36.1,31,0,17,9
95,17,0.34,36.1,31,14,16,10
96,0,0.0,32.800000000000004,28,0,20,9
97,0,0.0,36.1,31,0,17,10
98,16,0.32,40.5,35,13,12,10
99,32,0.64,37.2,32,28,14,5
