,kernel_size,kernel_size_n,kernel_size_theoric,nc_diag_prekernel,nc_diag_postkernel,removed_instances,max_removed
0,13,0.13,48.86666666666667,37,9,59,6
1,15,0.15,47.599999999999994,36,11,60,6
2,0,0.0,37.46666666666667,28,0,70,6
3,9,0.09,41.266666666666666,31,6,66,6
4,7,0.07,46.33333333333333,35,4,62,6
5,7,0.07,42.53333333333333,32,4,65,6
6,13,0.13,47.599999999999994,36,9,60,6
7,0,0.0,40.0,30,0,68,6
8,12,0.12,46.33333333333333,35,8,61,6
9,7,0.07,37.46666666666667,28,4,69,6
10,7,0.07,41.266666666666666,31,4,66,6
11,7,0.07,50.13333333333333,38,4,59,6
12,0,0.0,38.733333333333334,29,0,69,6
13,17,0.17,48.86666666666667,37,12,58,6
14,9,0.09,43.8,33,6,64,6
15,0,0.0,38.733333333333334,29,0,69,6
16,13,0.13,47.599999999999994,36,9,60,6
17,15,0.15,42.53333333333333,32,11,64,6
18,0,0.0,41.266666666666666,31,0,67,6
19,12,0.12,46.33333333333333,35,8,61,6
20,7,0.07,43.8,33,4,64,6
21,15,0.15,50.13333333333333,38,11,58,6
22,20,0.2,53.93333333333333,41,15,54,6
23,7,0.07,45.06666666666666,34,4,63,6
24,22,0.22,48.86666666666667,37,16,57,5
25,0,0.0,43.8,33,0,65,6
26,17,0.17,51.4,39,13,57,6
27,12,0.12,48.86666666666667,37,8,59,6
28,12,0.12,46.33333333333333,35,8,61,6
29,14,0.14,37.46666666666667,28,10,68,6
30,8,0.08,42.53333333333333,32,5,65,6
31,0,0.0,38.733333333333334,29,0,69,5
32,19,0.19,52.666666666666664,40,14,55,6
33,10,0.1,46.33333333333333,35,7,62,6
34,15,0.15,46.33333333333333,35,11,61,6
35,8,0.08,42.53333333333333,32,5,65,6
36,12,0.12,41.266666666666666,31,8,65,5
37,0,0.0,45.06666666666666,34,0,64,6
38,12,0.12,45.06666666666666,34,8,62,6
39,12,0.12,52.666666666666664,40,8,56,6
40,8,0.08,46.33333333333333,35,5,62,6
41,0,0.0,46.33333333333333,35,0,63,6
42,21,0.21,45.06666666666666,34,16,61,6
43,8,0.08,43.8,33,5,64,6
44,20,0.2,48.86666666666667,37,15,58,6
45,14,0.14,47.599999999999994,36,10,60,6
46,7,0.07,42.53333333333333,32,4,65,5
47,13,0.13,42.53333333333333,32,9,64,6
48,8,0.08,52.666666666666664,40,5,57,6
49,17,0.17,55.199999999999996,42,12,53,6
50,13,0.13,46.33333333333333,35,9,61,5
51,8,0.08,46.33333333333333,35,5,62,6
52,18,0.18,51.4,39,13,56,6
53,8,0.08,43.8,33,5,64,6
54,11,0.11,45.06666666666666,34,8,63,6
55,9,0.09,48.86666666666667,37,6,60,6
56,13,0.13,46.33333333333333,35,9,61,6
57,9,0.09,50.13333333333333,38,6,59,6
58,7,0.07,40.0,30,4,67,5
59,15,0.15,36.199999999999996,27,11,69,6
60,0,0.0,36.199999999999996,27,0,71,5
61,17,0.17,43.8,33,12,62,6
62,13,0.13,45.06666666666666,34,9,62,6
63,13,0.13,38.733333333333334,29,9,67,6
64,0,0.0,42.53333333333333,32,0,66,6
65,7,0.07,43.8,33,4,64,6
66,13,0.13,48.86666666666667,37,9,59,6
67,8,0.08,43.8,33,5,64,6
68,7,0.07,34.93333333333333,26,4,71,6
69,0,0.0,45.06666666666666,34,0,64,6
70,21,0.21,47.599999999999994,36,16,59,6
71,15,0.15,50.13333333333333,38,11,58,6
72,13,0.13,42.53333333333333,32,9,64,6
73,9,0.09,42.53333333333333,32,6,65,6
74,7,0.07,45.06666666666666,34,4,63,6
75,0,0.0,46.33333333333333,35,0,63,6
76,7,0.07,41.266666666666666,31,4,66,6
77,8,0.08,45.06666666666666,34,5,63,6
78,18,0.18,51.4,39,13,56,6
79,0,0.0,34.93333333333333,26,0,72,6
80,19,0.19,43.8,33,14,62,6
81,13,0.13,42.53333333333333,32,9,64,6
82,7,0.07,37.46666666666667,28,4,69,6
83,0,0.0,36.199999999999996,27,0,71,6
84,7,0.07,42.53333333333333,32,4,65,6
85,9,0.09,41.266666666666666,31,6,66,6
86,13,0.13,47.599999999999994,36,9,60,6
87,17,0.17,41.266666666666666,31,13,65,6
88,8,0.08,46.33333333333333,35,5,62,6
89,7,0.07,47.599999999999994,36,4,61,6
90,10,0.1,34.93333333333333,26,7,71,5
91,7,0.07,41.266666666666666,31,4,66,6
92,11,0.11,42.53333333333333,32,8,65,6
93,8,0.08,48.86666666666667,37,5,60,6
94,7,0.07,45.06666666666666,34,4,63,6
95,8,0.08,42.53333333333333,32,5,65,6
96,12,0.12,42.53333333333333,32,8,64,6
97,13,0.13,43.8,33,9,63,6
98,0,0.0,41.266666666666666,31,0,67,6
99,7,0.07,42.53333333333333,32,4,65,6
