,kernel_size,kernel_size_n,kernel_size_theoric,nc_diag_prekernel,nc_diag_postkernel,removed_instances,max_removed
0,8,0.8,8.166666666666668,5,5,2,3
1,0,0.0,9.4,6,0,2,7
2,0,0.0,6.933333333333334,4,0,4,7
3,10,1.0,10.633333333333333,7,7,0,0
4,0,0.0,6.933333333333334,4,0,4,7
5,0,0.0,9.4,6,0,2,6
6,0,0.0,6.933333333333334,4,0,4,6
7,0,0.0,5.7,3,0,5,5
8,10,1.0,10.633333333333333,7,7,0,0
9,0,0.0,9.4,6,0,2,7
10,9,0.9,9.4,6,6,1,3
11,8,0.8,9.4,6,5,1,4
12,0,0.0,8.166666666666668,5,0,3,7
13,10,1.0,10.633333333333333,7,7,0,0
14,10,1.0,10.633333333333333,7,7,0,0
15,0,0.0,6.933333333333334,4,0,4,7
16,0,0.0,8.166666666666668,5,0,3,6
17,8,0.8,8.166666666666668,5,5,2,3
18,0,0.0,6.933333333333334,4,0,4,5
19,0,0.0,6.933333333333334,4,0,4,6
20,8,0.8,8.166666666666668,5,5,2,3
21,0,0.0,6.933333333333334,4,0,4,7
22,9,0.9,9.4,6,6,1,3
23,0,0.0,6.933333333333334,4,0,4,6
24,10,1.0,10.633333333333333,7,7,0,0
25,0,0.0,6.933333333333334,4,0,4,6
26,9,0.9,9.4,6,6,1,3
27,0,0.0,5.7,3,0,5,5
28,9,0.9,9.4,6,6,1,3
29,0,0.0,6.933333333333334,4,0,4,6
30,8,0.8,9.4,6,5,1,4
31,8,0.8,8.166666666666668,5,5,2,3
32,0,0.0,6.933333333333334,4,0,4,7
33,10,1.0,10.633333333333333,7,7,0,0
34,0,0.0,9.4,6,0,2,6
35,8,0.8,9.4,6,5,1,4
36,9,0.9,9.4,6,6,1,3
37,0,0.0,8.166666666666668,5,0,3,7
38,0,0.0,6.933333333333334,4,0,4,5
39,0,0.0,6.933333333333334,4,0,4,7
40,8,0.8,9.4,6,5,1,4
41,0,0.0,5.7,3,0,5,5
42,0,0.0,9.4,6,0,2,6
43,8,0.8,9.4,6,5,1,4
44,0,0.0,8.166666666666668,5,0,3,5
45,10,1.0,10.633333333333333,7,7,0,0
46,10,1.0,10.633333333333333,7,7,0,0
47,8,0.8,8.166666666666668,5,5,2,3
48,8,0.8,8.166666666666668,5,5,2,3
49,0,0.0,6.933333333333334,4,0,4,7
50,0,0.0,6.933333333333334,4,0,4,5
51,0,0.0,8.166666666666668,5,0,3,7
52,8,0.8,9.4,6,5,1,4
53,0,0.0,5.7,3,0,5,5
54,10,1.0,10.633333333333333,7,7,0,0
55,8,0.8,8.166666666666668,5,5,2,3
56,0,0.0,6.933333333333334,4,0,4,6
57,0,0.0,5.7,3,0,5,4
58,0,0.0,6.933333333333334,4,0,4,5
59,0,0.0,5.7,3,0,5,5
60,8,0.8,8.166666666666668,5,5,2,3
61,0,0.0,5.7,3,0,5,6
62,0,0.0,8.166666666666668,5,0,3,6
63,0,0.0,5.7,3,0,5,4
64,8,0.8,9.4,6,5,1,4
65,0,0.0,5.7,3,0,5,5
66,10,1.0,10.633333333333333,7,7,0,0
67,0,0.0,5.7,3,0,5,5
68,0,0.0,6.933333333333334,4,0,4,7
69,8,0.8,8.166666666666668,5,5,2,3
70,0,0.0,8.166666666666668,5,0,3,6
71,0,0.0,6.933333333333334,4,0,4,6
72,10,1.0,10.633333333333333,7,7,0,0
73,8,0.8,8.166666666666668,5,5,2,3
74,0,0.0,9.4,6,0,2,6
75,0,0.0,8.166666666666668,5,0,3,7
76,10,1.0,10.633333333333333,7,7,0,0
77,8,0.8,8.166666666666668,5,5,2,3
78,9,0.9,9.4,6,6,1,3
79,0,0.0,5.7,3,0,5,6
80,0,0.0,6.933333333333334,4,0,4,7
81,0,0.0,6.933333333333334,4,0,4,6
82,0,0.0,6.933333333333334,4,0,4,6
83,8,0.8,8.166666666666668,5,5,2,3
84,0,0.0,8.166666666666668,5,0,3,7
85,0,0.0,8.166666666666668,5,0,3,6
86,10,1.0,10.633333333333333,7,7,0,0
87,0,0.0,5.7,3,0,5,6
88,8,0.8,8.166666666666668,5,5,2,3
89,9,0.9,9.4,6,6,1,3
90,0,0.0,6.933333333333334,4,0,4,6
91,10,1.0,10.633333333333333,7,7,0,0
92,0,0.0,5.7,3,0,5,5
93,0,0.0,6.933333333333334,4,0,4,6
94,0,0.0,6.933333333333334,4,0,4,6
95,0,0.0,4.466666666666667,2,0,6,4
96,0,0.0,8.166666666666668,5,0,3,6
97,0,0.0,6.933333333333334,4,0,4,7
98,0,0.0,5.7,3,0,5,4
99,8,0.8,9.4,6,5,1,4
