,kernel_size,kernel_size_n,kernel_size_theoric,nc_diag_prekernel,nc_diag_postkernel,removed_instances,max_removed
0,0,0.0,18.033333333333335,13,0,35,7
1,0,0.0,21.733333333333334,16,0,32,6
2,0,0.0,18.033333333333335,13,0,35,7
3,9,0.18,24.200000000000003,18,6,29,5
4,0,0.0,25.433333333333334,19,0,29,7
5,8,0.16,22.96666666666667,17,5,30,7
6,0,0.0,21.733333333333334,16,0,32,6
7,0,0.0,19.266666666666666,14,0,34,6
8,0,0.0,19.266666666666666,14,0,34,6
9,8,0.16,26.666666666666668,20,5,27,6
10,9,0.18,20.5,15,6,32,5
11,0,0.0,26.666666666666668,20,0,28,7
12,0,0.0,27.900000000000002,21,0,27,6
13,0,0.0,16.8,12,0,36,6
14,0,0.0,25.433333333333334,19,0,29,6
15,0,0.0,15.566666666666666,11,0,37,5
16,0,0.0,27.900000000000002,21,0,27,7
17,10,0.2,25.433333333333334,19,7,28,6
18,0,0.0,25.433333333333334,19,0,29,7
19,0,0.0,24.200000000000003,18,0,30,7
20,0,0.0,24.200000000000003,18,0,30,7
21,0,0.0,20.5,15,0,33,6
22,8,0.16,22.96666666666667,17,5,30,6
23,0,0.0,21.733333333333334,16,0,32,7
24,0,0.0,20.5,15,0,33,7
25,0,0.0,19.266666666666666,14,0,34,5
26,8,0.16,25.433333333333334,19,5,28,6
27,0,0.0,22.96666666666667,17,0,31,6
28,8,0.16,24.200000000000003,18,5,29,6
29,0,0.0,25.433333333333334,19,0,29,5
30,0,0.0,20.5,15,0,33,7
31,0,0.0,22.96666666666667,17,0,31,6
32,0,0.0,24.200000000000003,18,0,30,7
33,0,0.0,27.900000000000002,21,0,27,7
34,0,0.0,21.733333333333334,16,0,32,6
35,0,0.0,21.733333333333334,16,0,32,7
36,0,0.0,19.266666666666666,14,0,34,6
37,8,0.16,27.900000000000002,21,5,26,7
38,8,0.16,19.266666666666666,14,5,33,5
39,8,0.16,27.900000000000002,21,5,26,7
40,0,0.0,10.633333333333333,7,0,41,5
41,0,0.0,20.5,15,0,33,5
42,8,0.16,26.666666666666668,20,5,27,7
43,17,0.34,29.133333333333333,22,13,24,7
44,0,0.0,19.266666666666666,14,0,34,6
45,0,0.0,20.5,15,0,33,7
46,0,0.0,25.433333333333334,19,0,29,7
47,8,0.16,20.5,15,5,32,5
48,0,0.0,21.733333333333334,16,0,32,6
49,0,0.0,21.733333333333334,16,0,32,7
50,0,0.0,18.033333333333335,13,0,35,5
51,8,0.16,29.133333333333333,22,5,25,6
52,0,0.0,21.733333333333334,16,0,32,7
53,0,0.0,18.033333333333335,13,0,35,6
54,8,0.16,19.266666666666666,14,5,33,5
55,9,0.18,19.266666666666666,14,6,33,6
56,0,0.0,20.5,15,0,33,7
57,9,0.18,26.666666666666668,20,6,27,7
58,9,0.18,24.200000000000003,18,6,29,6
59,0,0.0,22.96666666666667,17,0,31,6
60,0,0.0,20.5,15,0,33,6
61,0,0.0,20.5,15,0,33,6
62,9,0.18,25.433333333333334,19,6,28,6
63,8,0.16,24.200000000000003,18,5,29,6
64,0,0.0,22.96666666666667,17,0,31,7
65,0,0.0,21.733333333333334,16,0,32,6
66,8,0.16,20.5,15,5,32,5
67,0,0.0,19.266666666666666,14,0,34,6
68,0,0.0,27.900000000000002,21,0,27,6
69,0,0.0,22.96666666666667,17,0,31,7
70,0,0.0,24.200000000000003,18,0,30,6
71,15,0.3,29.133333333333333,22,11,24,6
72,8,0.16,26.666666666666668,20,5,27,6
73,0,0.0,29.133333333333333,22,0,26,7
74,8,0.16,21.733333333333334,16,5,31,5
75,0,0.0,31.6,24,0,24,7
76,0,0.0,24.200000000000003,18,0,30,6
77,8,0.16,25.433333333333334,19,5,28,6
78,0,0.0,16.8,12,0,36,5
79,9,0.18,22.96666666666667,17,6,30,5
80,0,0.0,20.5,15,0,33,7
81,0,0.0,18.033333333333335,13,0,35,6
82,11,0.22,25.433333333333334,19,8,28,5
83,12,0.24,26.666666666666668,20,9,27,6
84,0,0.0,20.5,15,0,33,6
85,0,0.0,20.5,15,0,33,6
86,0,0.0,20.5,15,0,33,6
87,0,0.0,24.200000000000003,18,0,30,5
88,0,0.0,22.96666666666667,17,0,31,6
89,10,0.2,26.666666666666668,20,7,27,7
90,8,0.16,24.200000000000003,18,5,29,5
91,8,0.16,22.96666666666667,17,5,30,6
92,8,0.16,19.266666666666666,14,5,33,5
93,0,0.0,21.733333333333334,16,0,32,6
94,9,0.18,21.733333333333334,16,6,31,6
95,0,0.0,22.96666666666667,17,0,31,7
96,0,0.0,22.96666666666667,17,0,31,6
97,8,0.16,26.666666666666668,20,5,27,6
98,0,0.0,25.433333333333334,19,0,29,6
99,0,0.0,20.5,15,0,33,6
