,kernel_size,kernel_size_n,kernel_size_theoric,nc_diag_prekernel,nc_diag_postkernel,removed_instances,max_removed
0,50,0.5,81.8,63,44,31,6
1,44,0.44,76.73333333333333,59,36,33,6
2,58,0.58,86.86666666666666,67,51,26,6
3,59,0.59,85.6,66,51,26,6
4,70,0.7,94.46666666666667,73,61,18,5
5,63,0.63,86.86666666666666,67,53,23,6
6,52,0.52,79.26666666666667,61,45,32,6
7,75,0.75,93.19999999999999,72,67,20,5
8,59,0.59,88.13333333333333,68,52,25,6
9,66,0.66,90.66666666666666,70,58,22,6
10,62,0.62,85.6,66,54,26,5
11,72,0.72,94.46666666666667,73,65,20,6
12,40,0.4,70.39999999999999,54,33,39,6
13,58,0.58,84.33333333333333,65,52,29,5
14,59,0.59,85.6,66,52,27,6
15,44,0.44,75.46666666666667,58,37,35,6
16,73,0.73,93.19999999999999,72,65,20,5
17,84,0.84,99.53333333333333,77,73,12,5
18,52,0.52,85.6,66,45,27,6
19,77,0.77,99.53333333333333,77,69,15,6
20,74,0.74,94.46666666666667,73,65,18,6
21,56,0.56,80.53333333333333,62,49,31,6
22,48,0.48,79.26666666666667,61,41,32,6
23,50,0.5,88.13333333333333,68,43,25,6
24,56,0.56,84.33333333333333,65,48,27,6
25,56,0.56,89.39999999999999,69,49,24,6
26,46,0.46,75.46666666666667,58,39,35,6
27,70,0.7,94.46666666666667,73,61,18,6
28,55,0.55,78.0,60,47,32,5
29,44,0.44,79.26666666666667,61,38,33,6
30,69,0.69,98.26666666666667,76,62,17,6
31,57,0.57,78.0,60,47,30,6
32,66,0.66,91.93333333333332,71,57,20,6
33,71,0.71,94.46666666666667,73,63,19,6
34,62,0.62,89.39999999999999,69,55,24,6
35,56,0.56,83.06666666666666,64,48,28,6
36,69,0.69,86.86666666666666,67,60,24,5
37,50,0.5,75.46666666666667,58,42,34,6
38,52,0.52,81.8,63,47,32,6
39,75,0.75,99.53333333333333,77,68,16,6
40,73,0.73,91.93333333333332,71,63,19,6
41,65,0.65,83.06666666666666,64,54,25,6
42,62,0.62,86.86666666666666,67,53,24,6
43,62,0.62,89.39999999999999,69,55,24,6
44,69,0.69,94.46666666666667,73,61,19,5
45,62,0.62,80.53333333333333,62,53,29,6
46,72,0.72,94.46666666666667,73,62,17,5
47,58,0.58,85.6,66,50,26,6
48,54,0.54,84.33333333333333,65,48,29,6
49,49,0.49,85.6,66,42,27,6
50,51,0.51,79.26666666666667,61,43,31,6
51,71,0.71,91.93333333333332,71,62,20,5
52,56,0.56,85.6,66,50,28,6
53,65,0.65,93.19999999999999,72,57,20,6
54,58,0.58,90.66666666666666,70,51,23,6
55,67,0.67,89.39999999999999,69,58,22,6
56,43,0.43,79.26666666666667,61,38,34,6
57,47,0.47,72.93333333333334,56,38,35,6
58,57,0.57,86.86666666666666,67,50,26,6
59,68,0.68,89.39999999999999,69,60,23,5
60,48,0.48,79.26666666666667,61,42,33,6
61,49,0.49,88.13333333333333,68,42,25,6
62,56,0.56,80.53333333333333,62,48,30,6
63,63,0.63,93.19999999999999,72,55,20,6
64,58,0.58,80.53333333333333,62,50,30,6
65,57,0.57,80.53333333333333,62,48,29,6
66,57,0.57,79.26666666666667,61,49,31,6
67,55,0.55,75.46666666666667,58,47,34,6
68,59,0.59,84.33333333333333,65,52,28,6
69,55,0.55,85.6,66,49,28,6
70,58,0.58,86.86666666666666,67,49,24,6
71,75,0.75,93.19999999999999,72,65,18,6
72,67,0.67,85.6,66,59,26,5
73,56,0.56,85.6,66,49,27,6
74,60,0.6,86.86666666666666,67,53,26,6
75,63,0.63,89.39999999999999,69,56,24,6
76,57,0.57,81.8,63,50,30,5
77,57,0.57,76.73333333333333,59,49,33,6
78,72,0.72,93.19999999999999,72,64,20,5
79,65,0.65,91.93333333333332,71,59,23,6
80,55,0.55,81.8,63,47,29,6
81,81,0.81,99.53333333333333,77,72,14,6
82,66,0.66,94.46666666666667,73,58,19,6
83,53,0.53,80.53333333333333,62,48,33,5
84,48,0.48,78.0,60,40,32,6
85,67,0.67,90.66666666666666,70,57,20,6
86,73,0.73,90.66666666666666,70,63,20,6
87,60,0.6,85.6,66,52,26,6
88,55,0.55,75.46666666666667,58,49,36,5
89,57,0.57,78.0,60,48,31,6
90,74,0.74,97.0,75,66,17,6
91,57,0.57,84.33333333333333,65,48,26,6
92,67,0.67,88.13333333333333,68,56,21,6
93,68,0.68,98.26666666666667,76,59,15,6
94,61,0.61,94.46666666666667,73,54,20,6
95,73,0.73,91.93333333333332,71,64,20,6
96,68,0.68,84.33333333333333,65,59,26,5
97,62,0.62,93.19999999999999,72,56,22,6
98,75,0.75,99.53333333333333,77,66,14,6
99,46,0.46,78.0,60,42,36,6
