,kernel_size,kernel_size_n,kernel_size_theoric,nc_diag_prekernel,nc_diag_postkernel,removed_instances,max_removed
0,147,0.147,444.66666666666663,332,113,634,5
1,169,0.169,447.3333333333333,334,133,630,5
2,139,0.139,440.66666666666663,329,111,643,5
3,182,0.182,463.3333333333333,346,145,617,5
4,162,0.162,443.3333333333333,331,127,634,5
5,190,0.19,448.66666666666663,335,148,623,5
6,153,0.153,434.0,324,119,642,5
7,159,0.159,444.66666666666663,332,128,637,5
8,162,0.162,451.3333333333333,337,129,630,5
9,181,0.181,439.3333333333333,328,141,632,5
10,177,0.177,451.3333333333333,337,139,625,5
11,141,0.141,434.0,324,110,645,5
12,161,0.161,447.3333333333333,334,125,630,5
13,146,0.146,446.0,333,115,636,5
14,168,0.168,444.66666666666663,332,134,634,5
15,166,0.166,448.66666666666663,335,129,628,5
16,177,0.177,470.0,351,139,611,5
17,189,0.189,475.3333333333333,355,150,606,5
18,150,0.15,419.3333333333333,313,118,655,5
19,141,0.141,443.3333333333333,331,110,638,5
20,186,0.186,467.3333333333333,349,148,613,5
21,151,0.151,450.0,336,120,633,5
22,159,0.159,451.3333333333333,337,121,625,5
23,169,0.169,470.0,351,132,612,5
24,176,0.176,466.0,348,138,614,5
25,160,0.16,460.66666666666663,344,124,620,5
26,159,0.159,446.0,333,127,635,5
27,166,0.166,463.3333333333333,346,132,620,5
28,128,0.128,427.3333333333333,319,98,651,5
29,129,0.129,420.66666666666663,314,99,656,5
30,184,0.184,478.0,357,146,605,5
31,189,0.189,456.66666666666663,341,151,621,5
32,161,0.161,438.0,327,125,637,5
33,180,0.18,456.66666666666663,341,143,622,5
34,205,0.205,460.66666666666663,344,164,615,5
35,165,0.165,448.66666666666663,335,130,630,5
36,179,0.179,448.66666666666663,335,140,626,5
37,176,0.176,454.0,339,138,623,5
38,201,0.201,476.66666666666663,356,159,602,5
39,184,0.184,460.66666666666663,344,144,616,5
40,165,0.165,454.0,339,126,622,5
41,186,0.186,464.66666666666663,347,147,614,5
42,132,0.132,460.66666666666663,344,104,628,5
43,176,0.176,458.0,342,138,620,5
44,135,0.135,435.3333333333333,325,106,646,5
45,182,0.182,464.66666666666663,347,141,612,5
46,179,0.179,439.3333333333333,328,140,633,5
47,133,0.133,447.3333333333333,334,103,636,5
48,129,0.129,450.0,336,100,635,5
49,181,0.181,447.3333333333333,334,144,629,5
50,165,0.165,444.66666666666663,332,130,633,5
51,162,0.162,436.66666666666663,326,128,640,5
52,146,0.146,450.0,336,115,633,5
53,194,0.194,448.66666666666663,335,153,624,5
54,177,0.177,492.66666666666663,368,139,594,5
55,200,0.2,452.66666666666663,338,157,619,5
56,167,0.167,460.66666666666663,344,133,622,5
57,169,0.169,442.0,330,130,631,5
58,156,0.156,431.3333333333333,322,122,644,5
59,156,0.156,424.66666666666663,317,122,649,5
60,152,0.152,454.0,339,117,626,5
61,161,0.161,442.0,330,125,634,5
62,170,0.17,440.66666666666663,329,136,637,5
63,192,0.192,456.66666666666663,341,152,619,5
64,114,0.114,432.66666666666663,323,87,650,5
65,185,0.185,466.0,348,145,612,5
66,145,0.145,443.3333333333333,331,117,641,5
67,155,0.155,408.66666666666663,305,124,664,5
68,185,0.185,459.3333333333333,343,146,618,5
69,138,0.138,448.66666666666663,335,107,634,5
70,156,0.156,451.3333333333333,337,123,630,5
71,123,0.123,442.0,330,94,641,5
72,161,0.161,442.0,330,125,634,5
73,153,0.153,436.66666666666663,326,121,642,5
74,182,0.182,452.66666666666663,338,144,624,5
75,148,0.148,451.3333333333333,337,117,632,5
76,180,0.18,459.3333333333333,343,143,620,5
77,169,0.169,447.3333333333333,334,135,632,5
78,170,0.17,450.0,336,133,627,5
79,152,0.152,426.0,318,120,650,5
80,185,0.185,472.66666666666663,353,145,607,5
81,212,0.212,463.3333333333333,346,164,606,5
82,175,0.175,443.3333333333333,331,137,631,5
83,168,0.168,462.0,345,129,616,5
84,172,0.172,444.66666666666663,332,134,630,5
85,168,0.168,440.66666666666663,329,130,633,5
86,159,0.159,439.3333333333333,328,125,638,5
87,175,0.175,468.66666666666663,350,136,611,5
88,179,0.179,447.3333333333333,334,137,624,5
89,178,0.178,440.66666666666663,329,140,633,5
90,178,0.178,454.0,339,138,621,5
91,145,0.145,428.66666666666663,320,114,649,5
92,147,0.147,446.0,333,113,633,5
93,169,0.169,450.0,336,133,628,5
94,175,0.175,460.66666666666663,344,138,619,5
95,178,0.178,458.0,342,140,620,5
96,174,0.174,435.3333333333333,325,136,637,5
97,207,0.207,472.66666666666663,353,161,601,5
98,155,0.155,459.3333333333333,343,122,624,5
99,186,0.186,440.66666666666663,329,145,630,5
